uid,gls_id,code,status
1,0,pyudZe,COMPLETED
2,1,OXHXom,COMPLETED
3,2,8OCY4w,COMPLETED
4,3,pg1QwZ,INCOMPLETE
5,4,2qn9SN,COMPLETED
6,5,93PHiA,WITHDRAWN
7,3,NbWrs3,WITHDRAWN
8,3,WURK_c,COMPLETED
9,5,xtiR3G,COMPLETED
10,6,OsB-1Q,COMPLETED
11,7,jyFAwT,COMPLETED
12,8,IThpEU,COMPLETED
13,9,SOVvd8,COMPLETED
14,10,1RLerl,COMPLETED
15,11,0K46oh,INCOMPLETE
16,12,-HXKql,WITHDRAWN
17,12,Q50kGP,COMPLETED
18,13,ub_VTu,INCOMPLETE
19,11,RFuySq,COMPLETED
20,7,iCFQt3,WITHDRAWN
21,7,bSdTCn,COMPLETED
22,13,4nm1n-,WITHDRAWN
23,13,R_fwVY,INCOMPLETE
24,14,gjIyZ2,COMPLETED
25,15,XoN_EA,WITHDRAWN
26,15,9mA_Wv,COMPLETED
27,16,QKoB17,COMPLETED
28,17,kbr4nz,COMPLETED
