,user,condition,performance,stim,uid,gls_id,bin,code
0,1,baseline,2526.66666666667,1,1,0,0,0_1
1,1,baseline,2540.3,2,1,0,0,0_2
2,1,baseline,2813.11111111111,3,1,0,0,0_3
3,1,baseline,2447.2,4,1,0,0,0_4
4,1,baseline,2544.33333333333,5,1,0,0,0_5
5,1,baseline,2571.0,6,1,0,0,0_6
6,1,baseline,2445.22222222222,7,1,0,0,0_7
7,1,baseline,3330.5,8,1,0,0,0_8
8,1,crulp,9288.2,1,1,0,1,1_1
9,1,crulp,8382.875,2,1,0,1,1_2
10,1,crulp,7610.6,3,1,0,1,1_3
11,1,crulp,11022.0,4,1,0,1,1_4
12,1,crulp,10534.5555555556,5,1,0,1,1_5
13,1,crulp,10497.5,6,1,0,1,1_6
14,1,crulp,7372.5,7,1,0,1,1_7
15,1,crulp,5491.25,8,1,0,1,1_8
16,1,ime,8568.2,1,1,0,2,2_1
17,1,ime,6478.27272727273,2,1,0,2,2_2
18,1,ime,3765.33333333333,3,1,0,2,2_3
19,1,ime,3251.375,4,1,0,2,2_4
20,1,ime,2625.875,5,1,0,2,2_5
21,1,ime,2807.09090909091,6,1,0,2,2_6
22,1,ime,4858.44444444444,7,1,0,2,2_7
23,1,ime,4853.45454545455,8,1,0,2,2_8
24,1,windows,14968.6,1,1,0,3,3_1
25,1,windows,12835.3333333333,2,1,0,3,3_2
26,1,windows,15144.3636363636,3,1,0,3,3_3
27,1,windows,12333.6666666667,4,1,0,3,3_4
28,1,windows,15799.8,5,1,0,3,3_5
29,1,windows,13653.125,6,1,0,3,3_6
30,1,windows,12544.1,7,1,0,3,3_7
31,1,windows,16484.0,8,1,0,3,3_8
32,5,baseline,4172.66666666667,1,5,1,0,0_1
33,5,baseline,3516.1,2,5,1,0,0_2
34,5,baseline,3344.22222222222,3,5,1,0,0_3
35,5,baseline,4284.1,4,5,1,0,0_4
36,5,baseline,3523.16666666667,5,5,1,0,0_5
37,5,baseline,3167.55555555556,6,5,1,0,0_6
38,5,baseline,3490.22222222222,7,5,1,0,0_7
39,5,baseline,4093.1,8,5,1,0,0_8
40,5,ime,4299.9,1,5,1,3,3_1
41,5,ime,4341.77777777778,2,5,1,3,3_2
42,5,ime,5108.54545454545,3,5,1,3,3_3
43,5,ime,3784.44444444444,4,5,1,3,3_4
44,5,ime,7356.2,5,5,1,3,3_5
45,5,ime,3317.125,6,5,1,3,3_6
46,5,ime,3579.9,7,5,1,3,3_7
47,5,ime,5530.7,8,5,1,3,3_8
48,5,windows,13122.7,1,5,1,1,1_1
49,5,windows,16167.375,2,5,1,1,1_2
50,5,windows,9232.8,3,5,1,1,1_3
51,5,windows,14088.0909090909,4,5,1,1,1_4
52,5,windows,13319.2222222222,5,5,1,1,1_5
53,5,windows,10588.75,6,5,1,1,1_6
54,5,windows,9660.8,7,5,1,1,1_7
55,5,windows,7957.5,8,5,1,1,1_8
56,5,crulp,7248.0,1,5,1,2,2_1
57,5,crulp,6255.36363636364,2,5,1,2,2_2
58,5,crulp,6942.22222222222,3,5,1,2,2_3
59,5,crulp,6037.75,4,5,1,2,2_4
60,5,crulp,5031.25,5,5,1,2,2_5
61,5,crulp,7498.45454545455,6,5,1,2,2_6
62,5,crulp,7341.55555555556,7,5,1,2,2_7
63,5,crulp,6224.81818181818,8,5,1,2,2_8
64,8,baseline,2028.33333333333,1,8,0,0,0_1
65,8,baseline,1568.1,2,8,0,0,0_2
66,8,baseline,1759.55555555556,3,8,0,0,0_3
67,8,baseline,1988.1,4,8,0,0,0_4
68,8,baseline,1804.66666666667,5,8,0,0,0_5
69,8,baseline,1817.88888888889,6,8,0,0,0_6
70,8,baseline,1572.33333333333,7,8,0,0,0_7
71,8,baseline,2963.0,8,8,0,0,0_8
72,8,crulp,8311.0,1,8,0,1,1_1
73,8,crulp,5697.875,2,8,0,1,1_2
74,8,crulp,7051.8,3,8,0,1,1_3
75,8,crulp,6876.0,4,8,0,1,1_4
76,8,crulp,7534.22222222222,5,8,0,1,1_5
77,8,crulp,8274.0,6,8,0,1,1_6
78,8,crulp,5668.8,7,8,0,1,1_7
79,8,crulp,2732.0,8,8,0,1,1_8
80,8,ime,7268.2,1,8,0,2,2_1
81,8,ime,5890.81818181818,2,8,0,2,2_2
82,8,ime,3826.22222222222,3,8,0,2,2_3
83,8,ime,5142.125,4,8,0,2,2_4
84,8,ime,4484.0,5,8,0,2,2_5
85,8,ime,6005.72727272727,6,8,0,2,2_6
86,8,ime,5936.77777777778,7,8,0,2,2_7
87,8,ime,5962.90909090909,8,8,0,2,2_8
88,8,windows,11136.6,1,8,0,3,3_1
89,8,windows,12163.5555555556,2,8,0,3,3_2
90,8,windows,11042.0,3,8,0,3,3_3
91,8,windows,12614.1111111111,4,8,0,3,3_4
92,8,windows,13157.8,5,8,0,3,3_5
93,8,windows,10115.125,6,8,0,3,3_6
94,8,windows,10654.5,7,8,0,3,3_7
95,8,windows,12016.7,8,8,0,3,3_8
96,10,baseline,1795.0,1,10,0,0,0_1
97,10,baseline,1281.7,2,10,0,0,0_2
98,10,baseline,1226.88888888889,3,10,0,0,0_3
99,10,baseline,1541.7,4,10,0,0,0_4
100,10,baseline,1646.66666666667,5,10,0,0,0_5
101,10,baseline,1264.11111111111,6,10,0,0,0_6
102,10,baseline,1515.77777777778,7,10,0,0,0_7
103,10,baseline,1636.8,8,10,0,0,0_8
104,10,crulp,3572.2,1,10,0,1,1_1
105,10,crulp,2918.375,2,10,0,1,1_2
106,10,crulp,3696.2,3,10,0,1,1_3
107,10,crulp,5753.54545454545,4,10,0,1,1_4
108,10,crulp,6625.0,5,10,0,1,1_5
109,10,crulp,5371.25,6,10,0,1,1_6
110,10,crulp,3346.4,7,10,0,1,1_7
111,10,crulp,1765.875,8,10,0,1,1_8
112,10,ime,8762.66666666667,1,10,0,2,2_1
113,10,ime,6108.45454545455,2,10,0,2,2_2
114,10,ime,3105.88888888889,3,10,0,2,2_3
115,10,ime,5556.0,4,10,0,2,2_4
116,10,ime,1803.125,5,10,0,2,2_5
117,10,ime,3735.18181818182,6,10,0,2,2_6
118,10,ime,2048.0,7,10,0,2,2_7
119,10,ime,4009.54545454545,8,10,0,2,2_8
120,10,windows,14217.0,1,10,0,3,3_1
121,10,windows,14352.0,2,10,0,3,3_2
122,10,windows,22251.6363636364,3,10,0,3,3_3
123,10,windows,20699.8888888889,4,10,0,3,3_4
124,10,windows,17782.5,5,10,0,3,3_5
125,10,windows,17469.125,6,10,0,3,3_6
126,10,windows,15161.7,7,10,0,3,3_7
127,10,windows,17295.4,8,10,0,3,3_8
128,12,baseline,1568.66666666667,1,12,2,0,0_1
129,12,baseline,808.9,2,12,2,0,0_2
130,12,baseline,1113.77777777778,3,12,2,0,0_3
131,12,baseline,870.0,4,12,2,0,0_4
132,12,baseline,1319.0,5,12,2,0,0_5
133,12,baseline,962.111111111111,6,12,2,0,0_6
134,12,baseline,991.222222222222,7,12,2,0,0_7
135,12,baseline,1282.9,8,12,2,0,0_8
136,12,windows,9118.66666666667,1,12,2,2,2_1
137,12,windows,8467.81818181818,2,12,2,2,2_2
138,12,windows,8538.0,3,12,2,2,2_3
139,12,windows,4911.5,4,12,2,2,2_4
140,12,windows,6015.875,5,12,2,2,2_5
141,12,windows,7277.81818181818,6,12,2,2,2_6
142,12,windows,6252.77777777778,7,12,2,2,2_7
143,12,windows,7017.90909090909,8,12,2,2,2_8
144,12,crulp,3074.4,1,12,2,3,3_1
145,12,crulp,3123.11111111111,2,12,2,3,3_2
146,12,crulp,5840.90909090909,3,12,2,3,3_3
147,12,crulp,4937.77777777778,4,12,2,3,3_4
148,12,crulp,5642.6,5,12,2,3,3_5
149,12,crulp,3565.5,6,12,2,3,3_6
150,12,crulp,4845.1,7,12,2,3,3_7
151,12,crulp,4691.8,8,12,2,3,3_8
152,12,ime,6311.3,1,12,2,1,1_1
153,12,ime,4314.375,2,12,2,1,1_2
154,12,ime,3908.9,3,12,2,1,1_3
155,12,ime,17964.1818181818,4,12,2,1,1_4
156,12,ime,5151.55555555556,5,12,2,1,1_5
157,12,ime,5387.625,6,12,2,1,1_6
158,12,ime,5482.9,7,12,2,1,1_7
159,12,ime,1579.0,8,12,2,1,1_8
160,14,baseline,2820.33333333333,1,14,1,0,0_1
161,14,baseline,2365.7,2,14,1,0,0_2
162,14,baseline,2932.66666666667,3,14,1,0,0_3
163,14,baseline,2821.0,4,14,1,0,0_4
164,14,baseline,3185.5,5,14,1,0,0_5
165,14,baseline,2458.11111111111,6,14,1,0,0_6
166,14,baseline,2362.88888888889,7,14,1,0,0_7
167,14,baseline,2636.9,8,14,1,0,0_8
168,14,ime,4624.0,1,14,1,3,3_1
169,14,ime,9805.22222222222,2,14,1,3,3_2
170,14,ime,5118.54545454545,3,14,1,3,3_3
171,14,ime,4949.44444444444,4,14,1,3,3_4
172,14,ime,6648.1,5,14,1,3,3_5
173,14,ime,6752.125,6,14,1,3,3_6
174,14,ime,4533.4,7,14,1,3,3_7
175,14,ime,6643.0,8,14,1,3,3_8
176,14,windows,13186.8,1,14,1,1,1_1
177,14,windows,17007.25,2,14,1,1,1_2
178,14,windows,12215.3,3,14,1,1,1_3
179,14,windows,18872.3636363636,4,14,1,1,1_4
180,14,windows,16580.7777777778,5,14,1,1,1_5
181,14,windows,14175.625,6,14,1,1,1_6
182,14,windows,9362.9,7,14,1,1,1_7
183,14,windows,6803.0,8,14,1,1,1_8
184,14,crulp,9539.44444444445,1,14,1,2,2_1
185,14,crulp,6292.18181818182,2,14,1,2,2_2
186,14,crulp,5124.77777777778,3,14,1,2,2_3
187,14,crulp,6939.125,4,14,1,2,2_4
188,14,crulp,4303.875,5,14,1,2,2_5
189,14,crulp,7652.45454545455,6,14,1,2,2_6
190,14,crulp,7873.66666666667,7,14,1,2,2_7
191,14,crulp,4989.0,8,14,1,2,2_8
192,15,baseline,4288.33333333333,1,15,2,0,0_1
193,15,baseline,3409.6,2,15,2,0,0_2
194,15,baseline,3225.88888888889,3,15,2,0,0_3
195,15,baseline,2860.1,4,15,2,0,0_4
196,15,baseline,4107.16666666667,5,15,2,0,0_5
197,15,baseline,3398.77777777778,6,15,2,0,0_6
198,15,baseline,3790.33333333333,7,15,2,0,0_7
199,15,baseline,3319.3,8,15,2,0,0_8
200,15,windows,17288.3333333333,1,15,2,2,2_1
201,15,windows,13388.5454545455,2,15,2,2,2_2
202,15,windows,15240.4444444444,3,15,2,2,2_3
203,15,windows,10629.25,4,15,2,2,2_4
204,15,windows,8448.375,5,15,2,2,2_5
205,15,windows,15912.1818181818,6,15,2,2,2_6
206,15,windows,14714.2222222222,7,15,2,2,2_7
207,15,windows,16342.1818181818,8,15,2,2,2_8
208,15,crulp,10020.1,1,15,2,3,3_1
209,15,crulp,9829.55555555555,2,15,2,3,3_2
210,15,crulp,10039.0,3,15,2,3,3_3
211,15,crulp,10228.2222222222,4,15,2,3,3_4
212,15,crulp,9303.5,5,15,2,3,3_5
213,15,crulp,7121.0,6,15,2,3,3_6
214,15,crulp,7367.5,7,15,2,3,3_7
215,15,crulp,9260.2,8,15,2,3,3_8
216,15,ime,9954.6,1,15,2,1,1_1
217,15,ime,7423.0,2,15,2,1,1_2
218,15,ime,7550.6,3,15,2,1,1_3
219,15,ime,12392.2727272727,4,15,2,1,1_4
220,15,ime,7140.66666666667,5,15,2,1,1_5
221,15,ime,10241.375,6,15,2,1,1_6
222,15,ime,4808.9,7,15,2,1,1_7
223,15,ime,4959.875,8,15,2,1,1_8
224,17,baseline,1844.83333333333,1,17,0,0,0_1
225,17,baseline,2114.5,2,17,0,0,0_2
226,17,baseline,1275.44444444444,3,17,0,0,0_3
227,17,baseline,1218.9,4,17,0,0,0_4
228,17,baseline,1399.33333333333,5,17,0,0,0_5
229,17,baseline,1266.77777777778,6,17,0,0,0_6
230,17,baseline,1152.33333333333,7,17,0,0,0_7
231,17,baseline,1466.0,8,17,0,0,0_8
232,17,crulp,3185.9,1,17,0,1,1_1
233,17,crulp,3059.625,2,17,0,1,1_2
234,17,crulp,2388.8,3,17,0,1,1_3
235,17,crulp,2965.54545454545,4,17,0,1,1_4
236,17,crulp,3321.11111111111,5,17,0,1,1_5
237,17,crulp,3082.875,6,17,0,1,1_6
238,17,crulp,2938.9,7,17,0,1,1_7
239,17,crulp,2074.125,8,17,0,1,1_8
240,17,ime,17019.7777777778,1,17,0,2,2_1
241,17,ime,7455.27272727273,2,17,0,2,2_2
242,17,ime,3026.66666666667,3,17,0,2,2_3
