,SameHand,SameFinger,SameKey,Reach,Hurdle,Press_L_Little,Press_L_Ring,Press_L_Middle,Press_L_Index,Press_R_Little,Press_R_Ring,Press_R_Middle,Press_R_Index,Dist_L_Little,Dist_L_Ring,Dist_L_Middle,Dist_L_Index,Dist_R_Little,Dist_R_Ring,Dist_R_Middle,Dist_R_Index,Frequency,Keyboard
vv,1,1,1,1,1,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.076,0.0,0.0,0.0,0.0,5,CRULP
vX,1,0,0,1,1,0,1,0,0,1,0,0,0,0.0,2.1287534527055074,0.0,2.1287534527055074,4.913,0.0,0.0,0.0,0,CRULP
vG,1,1,0,0,0,0,0,0,1,1,0,0,0,0.0,0.0,0.0,2.177933633585989,4.913,0.0,0.0,0.0,0,CRULP
vA,1,0,0,0,0,1,0,0,0,1,0,0,0,0.038,0.0,0.0,2.1287534527055074,4.913,0.0,0.0,0.0,3,CRULP
vn,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,2.1287534527055074,0.0,0.0,0.0,2.139933633585989,156,CRULP
v2,1,0,0,1,1,0,1,0,0,0,0,0,0,0.0,3.975162683964177,0.0,2.1287534527055074,0.0,0.0,0.0,0.0,0,CRULP
vT,1,1,0,1,1,0,0,0,1,1,0,0,0,0.0,0.0,0.0,3.8490127219504573,4.913,0.0,0.0,0.0,1,CRULP
vy,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,2.1287534527055074,0.0,0.0,0.0,2.9316352569043667,73,CRULP
vY,0,0,0,1,0,1,0,0,0,0,0,0,1,2.81615136376692,0.0,0.0,2.1287534527055074,0.0,0.0,0.0,2.9316352569043667,0,CRULP
vL,0,0,0,0,0,1,0,0,0,0,1,0,0,2.81615136376692,0.0,0.0,2.1287534527055074,0.0,0.038,0.0,0.0,0,CRULP
vs,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.038,0.0,2.1287534527055074,0.0,0.0,0.0,0.0,19,CRULP
v',0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,2.1287534527055074,1.913,0.0,0.0,0.0,0,CRULP
vf,1,1,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,2.1667534527055072,0.0,0.0,0.0,0.0,70,CRULP
vb,1,1,0,1,1,0,0,0,1,0,0,0,0,0.0,0.0,0.0,1.951,0.0,0.0,0.0,0.0,233,CRULP
vS,1,0,0,0,0,0,1,0,0,1,0,0,0,0.0,0.038,0.0,2.1287534527055074,4.913,0.0,0.0,0.0,0,CRULP
vq,1,0,0,1,1,1,0,0,0,0,0,0,0,1.9208170383762733,0.0,0.0,2.1287534527055074,0.0,0.0,0.0,0.0,20,CRULP
vr,1,1,0,1,1,0,0,0,1,0,0,0,0,0.0,0.0,0.0,4.013162683964177,0.0,0.0,0.0,0.0,782,CRULP
v0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,2.1287534527055074,3.975162683964177,0.0,0.0,0.0,0,CRULP
vP,0,0,0,1,0,1,0,0,0,1,0,0,0,2.81615136376692,0.0,0.0,2.1287534527055074,1.9208170383762733,0.0,0.0,0.0,0,CRULP
"v""",0,0,0,0,0,1,0,0,0,1,0,0,0,2.81615136376692,0.0,0.0,2.1287534527055074,1.913,0.0,0.0,0.0,0,CRULP
vi,0,0,0,1,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,2.1287534527055074,0.0,0.0,1.9208170383762733,0.0,195,CRULP
v7,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,2.1287534527055074,0.0,0.0,0.0,3.975162683964177,0,CRULP
"v,",0,0,0,1,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,2.1287534527055074,0.0,0.0,2.1287534527055074,0.0,2,CRULP
