,SameHand,SameFinger,SameKey,Reach,Hurdle,Press_L_Little,Press_L_Ring,Press_L_Middle,Press_L_Index,Press_R_Little,Press_R_Ring,Press_R_Middle,Press_R_Index,Dist_L_Little,Dist_L_Ring,Dist_L_Middle,Dist_L_Index,Dist_R_Little,Dist_R_Ring,Dist_R_Middle,Dist_R_Index,Frequency,Keyboard
ss,1,1,1,0,0,0,1,0,0,0,0,0,0,0.0,0.076,0.0,0.0,0.0,0.0,0.0,0.0,471,CRULP
s/,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0,0.038,0.0,0.0,2.1287534527055074,0.0,0.0,0.0,1,CRULP
s&,0,0,0,1,0,1,0,0,0,0,0,0,1,2.81615136376692,0.038,0.0,0.0,0.0,0.0,0.0,3.975162683964177,0,CRULP
sh,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.038,0.0,0.0,0.0,0.0,0.0,1.913,54,CRULP
sk,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.038,0.0,0.0,0.0,0.0,0.038,0.0,2423,CRULP
"s,",0,0,0,1,0,0,0,0,0,0,0,1,0,0.0,0.038,0.0,0.0,0.0,0.0,2.1287534527055074,0.0,46,CRULP
sc,1,0,0,1,0,0,0,1,0,0,0,0,0,0.0,0.038,2.1287534527055074,0.0,0.0,0.0,0.0,0.0,59,CRULP
sf,1,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.038,0.0,0.038,0.0,0.0,0.0,0.0,265,CRULP
s9,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0,0.038,0.0,0.0,0.0,3.9833295172900325,0.0,0.0,0,CRULP
s<,0,0,0,1,0,1,0,0,0,0,0,1,0,2.81615136376692,0.038,0.0,0.0,0.0,0.0,2.1287534527055074,0.0,0,CRULP
sl,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.038,0.0,0.0,0.0,0.038,0.0,0.0,1292,CRULP
sm,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.038,0.0,0.0,0.0,0.0,0.0,2.1287534527055074,1081,CRULP
sH,0,0,0,0,0,1,0,0,0,0,0,0,1,2.81615136376692,0.038,0.0,0.0,0.0,0.0,0.0,1.913,0,CRULP
s{,0,0,0,1,0,1,0,0,0,1,0,0,0,2.81615136376692,0.038,0.0,0.0,2.435524765252697,0.0,0.0,0.0,0,CRULP
se,1,0,0,1,0,0,0,1,0,0,0,0,0,0.0,0.038,1.9208170383762733,0.0,0.0,0.0,0.0,0.0,143,CRULP
