,SameHand,SameFinger,SameKey,Reach,Hurdle,Press_L_Little,Press_L_Ring,Press_L_Middle,Press_L_Index,Press_R_Little,Press_R_Ring,Press_R_Middle,Press_R_Index,Dist_L_Little,Dist_L_Ring,Dist_L_Middle,Dist_L_Index,Dist_R_Little,Dist_R_Ring,Dist_R_Middle,Dist_R_Index,Frequency,Keyboard
ss,1,1,1,0,0,0,1,0,0,0,0,0,0,0.0,0.076,0.0,0.0,0.0,0.0,0.0,0.0,22570,CRULP
s/,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0,0.038,0.0,0.0,2.1287534527055074,0.0,0.0,0.0,22,CRULP
s&,0,0,0,1,0,1,0,0,0,0,0,0,1,2.81615136376692,0.038,0.0,0.0,0.0,0.0,0.0,3.975162683964177,7,CRULP
sh,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.038,0.0,0.0,0.0,0.0,0.0,1.913,3166,CRULP
sk,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.038,0.0,0.0,0.0,0.0,0.038,0.0,112188,CRULP
"s,",0,0,0,1,0,0,0,0,0,0,0,1,0,0.0,0.038,0.0,0.0,0.0,0.0,2.1287534527055074,0.0,965,CRULP
sc,1,0,0,1,0,0,0,1,0,0,0,0,0,0.0,0.038,2.1287534527055074,0.0,0.0,0.0,0.0,0.0,6267,CRULP
sf,1,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.038,0.0,0.038,0.0,0.0,0.0,0.0,10044,CRULP
s9,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0,0.038,0.0,0.0,0.0,3.9833295172900325,0.0,0.0,0,CRULP
s<,0,0,0,1,0,1,0,0,0,0,0,1,0,2.81615136376692,0.038,0.0,0.0,0.0,0.0,2.1287534527055074,0.0,0,CRULP
sl,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.038,0.0,0.0,0.0,0.038,0.0,0.0,58865,CRULP
sm,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.038,0.0,0.0,0.0,0.0,0.0,2.1287534527055074,61446,CRULP
sH,0,0,0,0,0,1,0,0,0,0,0,0,1,2.81615136376692,0.038,0.0,0.0,0.0,0.0,0.0,1.913,117,CRULP
s{,0,0,0,1,0,1,0,0,0,1,0,0,0,2.81615136376692,0.038,0.0,0.0,2.435524765252697,0.0,0.0,0.0,0,CRULP
se,1,0,0,1,0,0,0,1,0,0,0,0,0,0.0,0.038,1.9208170383762733,0.0,0.0,0.0,0.0,0.0,9764,CRULP
s`,1,0,0,1,0,1,0,0,0,0,0,0,0,4.916332194510744,0.038,0.0,0.0,0.0,0.0,0.0,0.0,0,CRULP
s(,0,0,0,1,0,1,0,0,0,0,1,0,0,2.81615136376692,0.038,0.0,0.0,0.0,3.9833295172900325,0.0,0.0,5,CRULP
s[,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0,0.038,0.0,0.0,2.435524765252697,0.0,0.0,0.0,4,CRULP
s#,1,0,0,1,0,0,0,1,0,1,0,0,0,0.0,0.038,3.975162683964177,0.0,4.913,0.0,0.0,0.0,63,CRULP
s+,0,0,0,1,0,1,0,0,0,1,0,0,0,2.81615136376692,0.038,0.0,0.0,4.265957544725349,0.0,0.0,0.0,13,CRULP
s?,0,0,0,1,0,1,0,0,0,1,0,0,0,2.81615136376692,0.038,0.0,0.0,2.1287534527055074,0.0,0.0,0.0,0,CRULP
s-,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0,0.038,0.0,0.0,3.8110127219504575,0.0,0.0,0.0,170,CRULP
sx,1,1,0,1,0,0,1,0,0,0,0,0,0,0.0,2.1667534527055072,0.0,0.0,0.0,0.0,0.0,0.0,2690,CRULP
s',0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.038,0.0,0.0,1.913,0.0,0.0,0.0,70,CRULP
st,1,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.038,0.0,2.435524765252697,0.0,0.0,0.0,0.0,95819,CRULP
s\,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0,0.038,0.0,0.0,6.05448776280647,0.0,0.0,0.0,2,CRULP
sq,1,0,0,1,0,1,0,0,0,0,0,0,0,1.9208170383762733,0.038,0.0,0.0,0.0,0.0,0.0,0.0,3179,CRULP
s;,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.038,0.0,0.0,0.038,0.0,0.0,0.0,1,CRULP
s^,0,0,0,1,0,1,0,0,0,0,0,0,1,2.81615136376692,0.038,0.0,0.0,0.0,0.0,0.0,4.916332194510744,17,CRULP
sg,1,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.038,0.0,1.913,0.0,0.0,0.0,0.0,2549,CRULP
sT,1,0,0,1,0,0,0,0,1,1,0,0,0,0.0,0.038,0.0,2.435524765252697,4.913,0.0,0.0,0.0,23871,CRULP
sp,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0,0.038,0.0,0.0,1.9208170383762733,0.0,0.0,0.0,16014,CRULP
sX,1,1,0,1,0,0,1,0,0,1,0,0,0,0.0,2.1667534527055072,0.0,0.0,4.913,0.0,0.0,0.0,0,CRULP
sL,0,0,0,0,0,1,0,0,0,0,1,0,0,2.81615136376692,0.038,0.0,0.0,0.0,0.038,0.0,0.0,3,CRULP
s4,1,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.038,0.0,3.975162683964177,0.0,0.0,0.0,0.0,0,CRULP
sd,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.038,0.038,0.0,0.0,0.0,0.0,0.0,9146,CRULP
s},0,0,0,1,0,1,0,0,0,1,0,0,0,2.81615136376692,0.038,0.0,0.0,3.908723446592381,0.0,0.0,0.0,0,CRULP
sw,1,1,0,1,0,0,1,0,0,0,0,0,0,0.0,1.9588170383762733,0.0,0.0,0.0,0.0,0.0,0.0,67241,CRULP
s0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0,0.038,0.0,0.0,3.975162683964177,0.0,0.0,0.0,0,CRULP
s1,1,0,0,1,0,1,0,0,0,0,0,0,0,3.975162683964177,0.038,0.0,0.0,0.0,0.0,0.0,0.0,0,CRULP
sQ,1,0,0,1,0,1,0,0,0,1,0,0,0,1.9208170383762733,0.038,0.0,0.0,4.913,0.0,0.0,0.0,0,CRULP
su,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.038,0.0,0.0,0.0,0.0,0.0,1.9208170383762733,3,CRULP
sv,1,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.038,0.0,2.1287534527055074,0.0,0.0,0.0,0.0,13024,CRULP
s$,1,0,0,1,0,0,0,0,1,1,0,0,0,0.0,0.038,0.0,3.975162683964177,4.913,0.0,0.0,0.0,10,CRULP
s%,1,0,0,1,0,0,0,0,1,1,0,0,0,0.0,0.038,0.0,3.80711793394688,4.913,0.0,0.0,0.0,40,CRULP
sP,0,0,0,1,0,1,0,0,0,1,0,0,0,2.81615136376692,0.038,0.0,0.0,1.9208170383762733,0.0,0.0,0.0,0,CRULP
s.,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0,0.038,0.0,0.0,0.0,2.1287534527055074,0.0,0.0,284,CRULP
sF,1,0,0,0,0,0,0,0,1,1,0,0,0,0.0,0.038,0.0,0.038,4.913,0.0,0.0,0.0,0,CRULP
sZ,1,0,0,1,0,1,0,0,0,1,0,0,0,2.1287534527055074,0.038,0.0,0.0,4.913,0.0,0.0,0.0,295,CRULP
sz,1,0,0,1,0,1,0,0,0,0,0,0,0,2.1287534527055074,0.038,0.0,0.0,0.0,0.0,0.0,0.0,3207,CRULP
s_,0,0,0,1,0,1,0,0,0,1,0,0,0,2.81615136376692,0.038,0.0,0.0,3.8110127219504575,0.0,0.0,0.0,0,CRULP
sD,1,0,0,0,0,0,0,1,0,1,0,0,0,0.0,0.038,0.038,0.0,4.913,0.0,0.0,0.0,697,CRULP
sB,1,0,0,1,0,0,0,0,1,1,0,0,0,0.0,0.038,0.0,3.4078108255508943,4.913,0.0,0.0,0.0,0,CRULP
sS,1,1,1,0,0,0,1,0,0,1,0,0,0,0.0,0.076,0.0,0.0,4.913,0.0,0.0,0.0,1064,CRULP
s:,0,0,0,0,0,1,0,0,0,1,0,0,0,2.81615136376692,0.038,0.0,0.0,0.038,0.0,0.0,0.0,260,CRULP
s*,0,0,0,1,0,1,0,0,0,0,0,1,0,2.81615136376692,0.038,0.0,0.0,0.0,0.0,3.975162683964177,0.0,9,CRULP
sC,1,0,0,1,0,0,0,1,0,1,0,0,0,0.0,0.038,2.1287534527055074,0.0,4.913,0.0,0.0,0.0,103,CRULP
s>,0,0,0,1,0,1,0,0,0,0,1,0,0,2.81615136376692,0.038,0.0,0.0,0.0,2.1287534527055074,0.0,0.0,0,CRULP
s3,1,0,0,1,0,0,0,1,0,0,0,0,0,0.0,0.038,3.975162683964177,0.0,0.0,0.0,0.0,0.0,0,CRULP
sA,1,0,0,0,0,1,0,0,0,1,0,0,0,0.038,0.038,0.0,0.0,4.913,0.0,0.0,0.0,3367,CRULP
sa,1,0,0,0,0,1,0,0,0,0,0,0,0,0.038,0.038,0.0,0.0,0.0,0.0,0.0,0.0,127107,CRULP
s5,1,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.038,0.0,3.80711793394688,0.0,0.0,0.0,0.0,0,CRULP
sE,1,0,0,1,0,0,0,1,0,1,0,0,0,0.0,0.038,1.9208170383762733,0.0,4.913,0.0,0.0,0.0,0,CRULP
sG,1,0,0,0,0,0,0,0,1,1,0,0,0,0.0,0.038,0.0,1.913,4.913,0.0,0.0,0.0,629,CRULP
s7,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.038,0.0,0.0,0.0,0.0,0.0,3.975162683964177,0,CRULP
so,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0,0.038,0.0,0.0,0.0,1.9208170383762733,0.0,0.0,12739,CRULP
s),0,0,0,1,0,1,0,0,0,1,0,0,0,2.81615136376692,0.038,0.0,0.0,3.975162683964177,0.0,0.0,0.0,6,CRULP
sR,1,0,0,1,0,0,0,0,1,1,0,0,0,0.0,0.038,0.0,1.9208170383762733,4.913,0.0,0.0,0.0,823,CRULP
sN,0,0,0,1,0,1,0,0,0,0,0,0,1,2.81615136376692,0.038,0.0,0.0,0.0,0.0,0.0,2.139933633585989,3,CRULP
s8,0,0,0,1,0,0,0,0,0,0,0,1,0,0.0,0.038,0.0,0.0,0.0,0.0,3.975162683964177,0.0,0,CRULP
s!,1,0,0,1,0,1,0,0,0,1,0,0,0,3.975162683964177,0.038,0.0,0.0,4.913,0.0,0.0,0.0,91,CRULP
sU,0,0,0,1,0,1,0,0,0,0,0,0,1,2.81615136376692,0.038,0.0,0.0,0.0,0.0,0.0,1.9208170383762733,3112,CRULP
s~,1,0,0,1,0,1,0,0,0,1,0,0,0,4.916332194510744,0.038,0.0,0.0,4.913,0.0,0.0,0.0,0,CRULP
s@,1,1,0,1,0,0,1,0,0,1,0,0,0,0.0,4.013162683964177,0.0,0.0,4.913,0.0,0.0,0.0,138,CRULP
s|,0,0,0,1,0,1,0,0,0,1,0,0,0,2.81615136376692,0.038,0.0,0.0,6.05448776280647,0.0,0.0,0.0,7,CRULP
sM,0,0,0,1,0,1,0,0,0,0,0,0,1,2.81615136376692,0.038,0.0,0.0,0.0,0.0,0.0,2.1287534527055074,0,CRULP
sr,1,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.038,0.0,1.9208170383762733,0.0,0.0,0.0,0.0,46604,CRULP
