,Finger,Distance,Frequency,Keyboard
-,R_Little,3.8110127219504575,337,CRULP
",",R_Middle,2.1287534527055074,3981,CRULP
s,L_Ring,0.038,36688,CRULP
c,L_Middle,2.1287534527055074,6740,CRULP
6,R_Index,4.916332194510744,520,CRULP
2,L_Ring,3.975162683964177,1562,CRULP
o,R_Ring,1.9208170383762733,45883,CRULP
`,L_Little,4.916332194510744,0,CRULP
3,L_Middle,3.975162683964177,638,CRULP
d,L_Middle,0.038,25626,CRULP
u,R_Index,1.9208170383762733,9528,CRULP
b,L_Index,3.4078108255508943,26090,CRULP
5,L_Index,3.80711793394688,503,CRULP
m,R_Index,2.1287534527055074,41640,CRULP
x,L_Ring,2.1287534527055074,8847,CRULP
j,R_Index,0.038,15766,CRULP
n,R_Index,2.139933633585989,63186,CRULP
\,R_Little,6.05448776280647,9,CRULP
g,L_Index,1.913,11492,CRULP
t,L_Index,2.435524765252697,38453,CRULP
7,R_Index,3.975162683964177,545,CRULP
4,L_Index,3.975162683964177,506,CRULP
8,R_Middle,3.975162683964177,586,CRULP
r,L_Index,1.9208170383762733,55178,CRULP
l,R_Ring,0.038,30978,CRULP
a,L_Little,0.038,110361,CRULP
q,L_Little,1.9208170383762733,8251,CRULP
;,R_Little,0.038,672,CRULP
f,L_Index,0.038,8504,CRULP
i,R_Middle,1.9208170383762733,89059,CRULP
/,R_Little,2.1287534527055074,108,CRULP
',R_Little,1.913,3580,CRULP
0,R_Little,3.975162683964177,1597,CRULP
y,R_Index,2.9316352569043667,39965,CRULP
],R_Little,3.908723446592381,9,CRULP
e,L_Middle,1.9208170383762733,10951,CRULP
h,R_Index,1.913,22309,CRULP
1,L_Little,3.975162683964177,2013,CRULP
k,R_Middle,0.038,56847,CRULP
w,L_Ring,1.9208170383762733,51374,CRULP
[,R_Little,2.435524765252697,11,CRULP
.,R_Ring,2.1287534527055074,7103,CRULP
=,R_Little,4.265957544725349,11,CRULP
v,L_Index,2.1287534527055074,5127,CRULP
9,R_Ring,3.9833295172900325,942,CRULP
p,R_Little,1.9208170383762733,12504,CRULP
z,L_Little,2.1287534527055074,7804,CRULP
l_shift,L_Little,2.81615136376692,59141,CRULP
r_shift,R_Little,4.913,30472,CRULP
-,R_Little,3.8110127219504575,337,WINDOWS
",",R_Middle,2.1287534527055074,3981,WINDOWS
s,L_Ring,0.038,58052,WINDOWS
c,L_Middle,2.1287534527055074,39965,WINDOWS
6,R_Index,4.916332194510744,520,WINDOWS
2,L_Ring,3.975162683964177,1565,WINDOWS
o,R_Ring,1.9208170383762733,19479,WINDOWS
`,L_Little,4.916332194510744,0,WINDOWS
3,L_Middle,3.975162683964177,638,WINDOWS
d,L_Middle,0.038,55178,WINDOWS
u,R_Index,1.9208170383762733,33366,WINDOWS
b,L_Index,3.4078108255508943,8801,WINDOWS
5,L_Index,3.80711793394688,503,WINDOWS
m,R_Index,2.1287534527055074,10951,WINDOWS
x,L_Ring,2.1287534527055074,8504,WINDOWS
j,R_Index,0.038,110361,WINDOWS
n,R_Index,2.139933633585989,10393,WINDOWS
\,R_Little,6.05448776280647,9,WINDOWS
g,L_Index,1.913,30975,WINDOWS
t,L_Index,2.435524765252697,6350,WINDOWS
7,R_Index,3.975162683964177,545,WINDOWS
4,L_Index,3.975162683964177,506,WINDOWS
8,R_Middle,3.975162683964177,586,WINDOWS
r,L_Index,1.9208170383762733,25626,WINDOWS
l,R_Ring,0.038,89059,WINDOWS
a,L_Little,0.038,41686,WINDOWS
q,L_Little,1.9208170383762733,5127,WINDOWS
;,R_Little,0.038,672,WINDOWS
f,L_Index,0.038,63186,WINDOWS
i,R_Middle,1.9208170383762733,26090,WINDOWS
/,R_Little,2.1287534527055074,108,WINDOWS
',R_Little,1.913,3580,WINDOWS
0,R_Little,3.975162683964177,1597,WINDOWS
y,R_Index,2.9316352569043667,12504,WINDOWS
],R_Little,3.908723446592381,9,WINDOWS
e,L_Middle,1.9208170383762733,15559,WINDOWS
h,R_Index,1.913,46682,WINDOWS
1,L_Little,3.975162683964177,2013,WINDOWS
k,R_Middle,0.038,61247,WINDOWS
w,L_Ring,1.9208170383762733,6858,WINDOWS
[,R_Little,2.435524765252697,11,WINDOWS
.,R_Ring,2.1287534527055074,7103,WINDOWS
=,R_Little,4.265957544725349,11,WINDOWS
v,L_Index,2.1287534527055074,31658,WINDOWS
9,R_Ring,3.9833295172900325,942,WINDOWS
p,R_Little,1.9208170383762733,13240,WINDOWS
z,L_Little,2.1287534527055074,8251,WINDOWS
l_shift,L_Little,2.81615136376692,39260,WINDOWS
r_shift,R_Little,4.913,37445,WINDOWS
-,R_Little,3.8110127219504575,1538,IME
",",R_Middle,2.1287534527055074,3949,IME
s,L_Ring,0.038,46472,IME
c,L_Middle,2.1287534527055074,8807,IME
