,Finger,Distance,Frequency,Keyboard
l,R_Ring,0.038,21794,CRULP
3,L_Middle,3.975162683964177,391,CRULP
o,R_Ring,1.9208170383762733,29159,CRULP
y,R_Index,2.9316352569043667,27217,CRULP
k,R_Middle,0.038,39036,CRULP
=,R_Little,4.265957544725349,4,CRULP
[,R_Little,2.435524765252697,3,CRULP
h,R_Index,1.913,13770,CRULP
5,L_Index,3.80711793394688,348,CRULP
`,L_Little,4.916332194510744,0,CRULP
d,L_Middle,0.038,18312,CRULP
7,R_Index,3.975162683964177,383,CRULP
;,R_Little,0.038,400,CRULP
v,L_Index,2.1287534527055074,3780,CRULP
r,L_Index,1.9208170383762733,38021,CRULP
1,L_Little,3.975162683964177,1426,CRULP
u,R_Index,1.9208170383762733,6326,CRULP
g,L_Index,1.913,7407,CRULP
i,R_Middle,1.9208170383762733,60745,CRULP
z,L_Little,2.1287534527055074,5477,CRULP
x,L_Ring,2.1287534527055074,6117,CRULP
e,L_Middle,1.9208170383762733,8237,CRULP
s,L_Ring,0.038,26069,CRULP
n,R_Index,2.139933633585989,43297,CRULP
6,R_Index,4.916332194510744,362,CRULP
p,R_Little,1.9208170383762733,8070,CRULP
8,R_Middle,3.975162683964177,420,CRULP
4,L_Index,3.975162683964177,366,CRULP
2,L_Ring,3.975162683964177,742,CRULP
0,R_Little,3.975162683964177,824,CRULP
b,L_Index,3.4078108255508943,16896,CRULP
m,R_Index,2.1287534527055074,29383,CRULP
9,R_Ring,3.9833295172900325,786,CRULP
j,R_Index,0.038,10737,CRULP
\,R_Little,6.05448776280647,2,CRULP
f,L_Index,0.038,5976,CRULP
/,R_Little,2.1287534527055074,81,CRULP
a,L_Little,0.038,76340,CRULP
c,L_Middle,2.1287534527055074,4376,CRULP
',R_Little,1.913,2745,CRULP
",",R_Middle,2.1287534527055074,3087,CRULP
w,L_Ring,1.9208170383762733,35445,CRULP
],R_Little,3.908723446592381,3,CRULP
.,R_Ring,2.1287534527055074,7027,CRULP
-,R_Little,3.8110127219504575,166,CRULP
t,L_Index,2.435524765252697,26262,CRULP
q,L_Little,1.9208170383762733,6217,CRULP
l_shift,L_Little,2.81615136376692,37547,CRULP
