,Finger,Distance,Frequency,Keyboard
-,R_Little,3.8110127219504575,23010,CRULP
",",R_Middle,2.1287534527055074,118272,CRULP
s,L_Ring,0.038,1347425,CRULP
c,L_Middle,2.1287534527055074,302770,CRULP
6,R_Index,4.916332194510744,20942,CRULP
2,L_Ring,3.975162683964177,103874,CRULP
o,R_Ring,1.9208170383762733,2112357,CRULP
`,L_Little,4.916332194510744,0,CRULP
3,L_Middle,3.975162683964177,33469,CRULP
d,L_Middle,0.038,948282,CRULP
u,R_Index,1.9208170383762733,397858,CRULP
b,L_Index,3.4078108255508943,1152586,CRULP
5,L_Index,3.80711793394688,19613,CRULP
m,R_Index,2.1287534527055074,1575644,CRULP
x,L_Ring,2.1287534527055074,347846,CRULP
j,R_Index,0.038,639827,CRULP
n,R_Index,2.139933633585989,2537909,CRULP
\,R_Little,6.05448776280647,630,CRULP
g,L_Index,1.913,510201,CRULP
t,L_Index,2.435524765252697,1529610,CRULP
7,R_Index,3.975162683964177,20888,CRULP
4,L_Index,3.975162683964177,22355,CRULP
8,R_Middle,3.975162683964177,22231,CRULP
r,L_Index,1.9208170383762733,2172298,CRULP
l,R_Ring,0.038,1168414,CRULP
a,L_Little,0.038,4312141,CRULP
q,L_Little,1.9208170383762733,265137,CRULP
;,R_Little,0.038,34679,CRULP
f,L_Index,0.038,317577,CRULP
i,R_Middle,1.9208170383762733,3598593,CRULP
/,R_Little,2.1287534527055074,3116,CRULP
',R_Little,1.913,107150,CRULP
0,R_Little,3.975162683964177,104913,CRULP
y,R_Index,2.9316352569043667,1623646,CRULP
],R_Little,3.908723446592381,878,CRULP
e,L_Middle,1.9208170383762733,350849,CRULP
h,R_Index,1.913,1078331,CRULP
1,L_Little,3.975162683964177,82925,CRULP
k,R_Middle,0.038,2259468,CRULP
w,L_Ring,1.9208170383762733,2027494,CRULP
[,R_Little,2.435524765252697,957,CRULP
.,R_Ring,2.1287534527055074,29998,CRULP
=,R_Little,4.265957544725349,588,CRULP
v,L_Index,2.1287534527055074,177827,CRULP
9,R_Ring,3.9833295172900325,22013,CRULP
p,R_Little,1.9208170383762733,571149,CRULP
z,L_Little,2.1287534527055074,300173,CRULP
l_shift,L_Little,2.81615136376692,2737904,CRULP
r_shift,R_Little,4.913,1311951,CRULP
-,R_Little,3.8110127219504575,23010,WINDOWS
",",R_Middle,2.1287534527055074,118272,WINDOWS
s,L_Ring,0.038,2281912,WINDOWS
c,L_Middle,2.1287534527055074,1623646,WINDOWS
6,R_Index,4.916332194510744,20942,WINDOWS
2,L_Ring,3.975162683964177,104241,WINDOWS
o,R_Ring,1.9208170383762733,840736,WINDOWS
`,L_Little,4.916332194510744,0,WINDOWS
3,L_Middle,3.975162683964177,33469,WINDOWS
d,L_Middle,0.038,2172298,WINDOWS
u,R_Index,1.9208170383762733,1329964,WINDOWS
