,Distance,SameHand,SameKey,SameFinger,Reach,Hurde,Frequency
K',0.0,True,False,False,True,False,
KY,0.0,True,False,False,True,True,
Kz,0.0,False,False,False,True,False,25.0
KH,0.0,True,False,False,True,False,
Kt,0.0,False,False,False,True,True,506.0
K`,0.0,False,False,False,True,True,
K9,0.0,True,False,False,True,True,
Ko,0.0,True,False,False,True,True,30.0
KQ,0.0,False,False,False,True,True,
Kh,0.0,True,False,False,True,False,6.0
KU,0.0,True,False,False,True,True,
K*,0.0,True,False,True,True,True,
K%,0.0,False,False,False,True,True,1.0
K},0.0,True,False,False,True,True,
K3,0.0,False,False,False,True,True,
Kv,0.0,False,False,False,True,False,153.0
K=,0.0,True,False,False,True,True,
K#,0.0,False,False,False,True,True,
KR,0.0,False,False,False,True,True,
K{,0.0,True,False,False,True,True,
Kn,0.0,True,False,False,True,False,23.0
K|,0.0,True,False,False,True,True,
K5,0.0,False,False,False,True,True,
K[,0.0,True,False,False,True,True,
KG,0.0,False,False,False,True,False,1.0
Kk,0.0,True,True,True,True,False,48.0
KE,0.0,False,False,False,True,True,
Kr,0.0,False,False,False,True,True,232.0
K;,0.0,True,False,False,True,False,
K(,0.0,True,False,False,True,True,1.0
K7,0.0,True,False,False,True,True,
K^,0.0,True,False,False,True,True,
KL,0.0,True,False,False,True,False,
KN,0.0,True,False,False,True,False,
Kq,0.0,False,False,False,True,True,2.0
Kl,0.0,True,False,False,True,False,378.0
K6,0.0,True,False,False,True,True,
Kd,0.0,False,False,False,True,False,166.0
K),0.0,True,False,False,True,True,
KI,0.0,True,False,True,True,True,
K@,0.0,False,False,False,True,True,2.0
K!,0.0,False,False,False,True,True,3.0
KT,0.0,False,False,False,True,True,8.0
KZ,0.0,False,False,False,True,False,10.0
KD,0.0,False,False,False,True,False,1.0
K8,0.0,True,False,True,True,True,
Ke,0.0,False,False,False,True,True,10.0
Kc,0.0,False,False,False,True,False,4.0
KM,0.0,True,False,False,True,False,
Kb,0.0,False,False,False,True,False,164.0
Ky,0.0,True,False,False,True,True,8.0
K_,0.0,True,False,False,True,True,
K<,0.0,True,False,True,True,False,
KO,0.0,True,False,False,True,True,
K\,0.0,True,False,False,True,True,
Ks,0.0,False,False,False,True,False,22.0
K/,0.0,True,False,False,True,False,
"K""",0.0,True,False,False,True,False,5.0
KC,0.0,False,False,False,True,False,3.0
K],0.0,True,False,False,True,True,
K+,0.0,True,False,False,True,True,
Km,0.0,True,False,False,True,False,78.0
KP,0.0,True,False,False,True,True,
Ka,0.0,False,False,False,True,False,836.0
KX,0.0,False,False,False,True,False,
K$,0.0,False,False,False,True,True,
K:,0.0,True,False,False,True,False,
"K,",0.0,True,False,True,True,False,5.0
Kg,0.0,False,False,False,True,False,1.0
Kx,0.0,False,False,False,True,False,25.0
KS,0.0,False,False,False,True,False,215.0
K~,0.0,False,False,False,True,True,
KB,0.0,False,False,False,True,False,
Kj,0.0,True,False,False,True,False,12.0
K?,0.0,True,False,False,True,False,
K4,0.0,False,False,False,True,True,
K0,0.0,True,False,False,True,True,
KF,0.0,False,False,False,True,False,
Kp,0.0,True,False,False,True,True,13.0
K-,0.0,True,False,False,True,True,
KJ,0.0,True,False,False,True,False,8.0
Kf,0.0,False,False,False,True,False,16.0
Ku,0.0,True,False,False,True,True,
KW,0.0,False,False,False,True,True,
Kw,0.0,False,False,False,True,True,497.0
KA,0.0,False,False,False,True,False,2.0
K2,0.0,False,False,False,True,True,
K1,0.0,False,False,False,True,True,
K&,0.0,True,False,False,True,True,1.0
Ki,0.0,True,False,True,True,True,186.0
K.,0.0,True,False,False,True,False,
KV,0.0,False,False,False,True,False,1.0
K>,0.0,True,False,False,True,False,
'K,0.0,True,False,False,True,False,2.0
'Y,0.0,True,False,False,True,True,
'z,0.0,False,False,False,True,False,
'H,0.0,True,False,False,True,False,
't,0.0,False,False,False,True,True,1.0
'`,0.0,False,False,False,True,True,
'9,0.0,True,False,False,True,True,
'o,0.0,True,False,False,True,True,3.0
'Q,0.0,False,False,False,True,True,
'h,0.0,True,False,False,True,False,
'U,0.0,True,False,False,True,True,
'*,0.0,True,False,False,True,True,
'%,0.0,False,False,False,True,True,
'},0.0,True,False,True,True,True,
'3,0.0,False,False,False,True,True,
'v,0.0,False,False,False,True,False,
'=,0.0,True,False,True,True,True,
'#,0.0,False,False,False,True,True,
'R,0.0,False,False,False,True,True,
'{,0.0,True,False,True,True,True,
'n,0.0,True,False,False,True,False,2.0
'|,0.0,True,False,True,True,True,
'5,0.0,False,False,False,True,True,
'[,0.0,True,False,True,True,True,
'G,0.0,False,False,False,True,False,
'k,0.0,True,False,False,True,False,12.0
'E,0.0,False,False,False,True,True,
'r,0.0,False,False,False,True,True,1.0
';,0.0,True,False,True,True,False,
'(,0.0,True,False,False,True,True,
'7,0.0,True,False,False,True,True,
'^,0.0,True,False,False,True,True,
'L,0.0,True,False,False,True,False,
'N,0.0,True,False,False,True,False,
'q,0.0,False,False,False,True,True,
'l,0.0,True,False,False,True,False,1.0
'6,0.0,True,False,False,True,True,
'd,0.0,False,False,False,True,False,
'),0.0,True,False,True,True,True,
