,Distance,SameHand,SameKey,SameFinger,Reach,Hurde,Frequency
u\,0.0,True,False,False,True,False,
uA,0.0,False,False,False,True,True,2.0
"u""",0.0,True,False,False,True,True,3.0
u6,0.0,True,False,True,True,True,
uh,0.0,True,False,True,True,True,2.0
uo,0.0,True,False,False,True,False,6.0
u/,0.0,True,False,False,True,False,1.0
uw,0.0,False,False,False,True,False,5.0
u;,0.0,True,False,False,True,True,
uH,0.0,True,False,True,True,True,
u_,0.0,True,False,False,True,True,
"u,",0.0,True,False,False,True,False,17.0
uL,0.0,True,False,False,True,True,
uQ,0.0,False,False,False,True,False,
u@,0.0,False,False,False,True,True,
u2,0.0,False,False,False,True,True,
u=,0.0,True,False,False,True,True,
ut,0.0,False,False,False,True,False,36.0
ux,0.0,False,False,False,True,False,1.0
u],0.0,True,False,False,True,False,
u),0.0,True,False,False,True,True,
u',0.0,True,False,False,True,True,
u4,0.0,False,False,False,True,True,
ud,0.0,False,False,False,True,True,6.0
u(,0.0,True,False,False,True,True,
u?,0.0,True,False,False,True,False,
u8,0.0,True,False,False,True,True,
u<,0.0,True,False,False,True,False,
uW,0.0,False,False,False,True,False,
ui,0.0,True,False,False,True,False,3.0
uq,0.0,False,False,False,True,False,
uN,0.0,True,False,True,True,False,
up,0.0,True,False,False,True,False,10.0
u7,0.0,True,False,True,True,True,
uz,0.0,False,False,False,True,False,
u|,0.0,True,False,False,True,False,
uS,0.0,False,False,False,True,True,3.0
uK,0.0,True,False,False,True,True,1.0
u},0.0,True,False,False,True,False,
uU,0.0,True,True,True,True,False,
uB,0.0,False,False,False,True,False,
u[,0.0,True,False,False,True,False,1.0
uC,0.0,False,False,False,True,False,
u{,0.0,True,False,False,True,False,
uD,0.0,False,False,False,True,True,
u#,0.0,False,False,False,True,True,1.0
uc,0.0,False,False,False,True,False,
u>,0.0,True,False,False,True,False,
ug,0.0,False,False,False,True,True,
uF,0.0,False,False,False,True,True,
us,0.0,False,False,False,True,True,36.0
uy,0.0,True,False,True,True,False,1.0
uX,0.0,False,False,False,True,False,
uY,0.0,True,False,True,True,False,
u!,0.0,False,False,False,True,True,
uJ,0.0,True,False,True,True,True,
ub,0.0,False,False,False,True,False,13.0
ua,0.0,False,False,False,True,True,40.0
uI,0.0,True,False,False,True,False,
uV,0.0,False,False,False,True,False,
uT,0.0,False,False,False,True,False,
uv,0.0,False,False,False,True,False,
uk,0.0,True,False,False,True,True,220.0
u1,0.0,False,False,False,True,True,
u$,0.0,False,False,False,True,True,
ue,0.0,False,False,False,True,False,3.0
uM,0.0,True,False,True,True,False,
u`,0.0,False,False,False,True,True,
u-,0.0,True,False,False,True,True,42.0
u3,0.0,False,False,False,True,True,
uR,0.0,False,False,False,True,False,
u^,0.0,True,False,True,True,True,
uE,0.0,False,False,False,True,False,
uZ,0.0,False,False,False,True,False,
un,0.0,True,False,True,True,False,6.0
u.,0.0,True,False,False,True,False,5.0
u~,0.0,False,False,False,True,True,
uP,0.0,True,False,False,True,False,
u9,0.0,True,False,False,True,True,
u+,0.0,True,False,False,True,True,
uj,0.0,True,False,True,True,True,10.0
uG,0.0,False,False,False,True,True,1.0
u*,0.0,True,False,False,True,True,
ul,0.0,True,False,False,True,True,
uf,0.0,False,False,False,True,True,5.0
u&,0.0,True,False,True,True,True,
u%,0.0,False,False,False,True,True,
u0,0.0,True,False,False,True,True,
um,0.0,True,False,True,True,False,376.0
uO,0.0,True,False,False,True,False,
u5,0.0,False,False,False,True,True,
ur,0.0,False,False,False,True,False,2.0
u:,0.0,True,False,False,True,True,2.0
\u,0.0,True,False,False,True,False,
\A,0.0,False,False,False,True,True,
"\""",0.0,True,False,True,True,True,
\6,0.0,True,False,False,True,True,
\h,0.0,True,False,False,True,True,
\o,0.0,True,False,False,True,False,
\/,0.0,True,False,True,True,False,
\w,0.0,False,False,False,True,False,
\;,0.0,True,False,True,True,True,
\H,0.0,True,False,False,True,True,
\_,0.0,True,False,True,True,True,
"\,",0.0,True,False,False,True,False,
\L,0.0,True,False,False,True,True,
\Q,0.0,False,False,False,True,False,
\@,0.0,False,False,False,True,True,
\2,0.0,False,False,False,True,True,
\=,0.0,True,False,True,True,True,
\t,0.0,False,False,False,True,False,
\x,0.0,False,False,False,True,False,
\],0.0,True,False,True,True,False,
\),0.0,True,False,True,True,True,
\',0.0,True,False,True,True,True,
\4,0.0,False,False,False,True,True,
\d,0.0,False,False,False,True,True,
\(,0.0,True,False,False,True,True,
\?,0.0,True,False,True,True,False,
\8,0.0,True,False,False,True,True,
\<,0.0,True,False,False,True,False,
\W,0.0,False,False,False,True,False,
\i,0.0,True,False,False,True,False,
\q,0.0,False,False,False,True,False,
\N,0.0,True,False,False,True,False,
\p,0.0,True,False,True,True,False,
\7,0.0,True,False,False,True,True,
\z,0.0,False,False,False,True,False,
\|,0.0,True,True,True,True,False,
\S,0.0,False,False,False,True,True,
\K,0.0,True,False,False,True,True,
\},0.0,True,False,True,True,False,
\U,0.0,True,False,False,True,False,
\B,0.0,False,False,False,True,False,
\[,0.0,True,False,True,True,False,
\C,0.0,False,False,False,True,False,
\{,0.0,True,False,True,True,False,
\D,0.0,False,False,False,True,True,
\#,0.0,False,False,False,True,True,
\c,0.0,False,False,False,True,False,
\>,0.0,True,False,False,True,False,
\g,0.0,False,False,False,True,True,
\F,0.0,False,False,False,True,True,
\s,0.0,False,False,False,True,True,
\y,0.0,True,False,False,True,False,
\X,0.0,False,False,False,True,False,
\Y,0.0,True,False,False,True,False,
\!,0.0,False,False,False,True,True,
\J,0.0,True,False,False,True,True,
\b,0.0,False,False,False,True,False,
\a,0.0,False,False,False,True,True,
\I,0.0,True,False,False,True,False,
\V,0.0,False,False,False,True,False,
\T,0.0,False,False,False,True,False,
\v,0.0,False,False,False,True,False,
\k,0.0,True,False,False,True,True,
\1,0.0,False,False,False,True,True,
\$,0.0,False,False,False,True,True,
\e,0.0,False,False,False,True,False,
\M,0.0,True,False,False,True,False,
\`,0.0,False,False,False,True,True,
\-,0.0,True,False,True,True,True,
\3,0.0,False,False,False,True,True,
\R,0.0,False,False,False,True,False,
\^,0.0,True,False,False,True,True,
\E,0.0,False,False,False,True,False,
\Z,0.0,False,False,False,True,False,
\n,0.0,True,False,False,True,False,
\.,0.0,True,False,False,True,False,
\~,0.0,False,False,False,True,True,
\P,0.0,True,False,True,True,False,
\9,0.0,True,False,False,True,True,
\+,0.0,True,False,True,True,True,
\j,0.0,True,False,False,True,True,
\G,0.0,False,False,False,True,True,
\*,0.0,True,False,False,True,True,
\l,0.0,True,False,False,True,True,
\f,0.0,False,False,False,True,True,
\&,0.0,True,False,False,True,True,
\%,0.0,False,False,False,True,True,
\0,0.0,True,False,True,True,True,
\m,0.0,True,False,False,True,False,
\O,0.0,True,False,False,True,False,
\5,0.0,False,False,False,True,True,
\r,0.0,False,False,False,True,False,
\:,0.0,True,False,True,True,True,
Au,0.0,False,False,False,True,True,
A\,0.0,False,False,False,True,True,
"A""",0.0,False,False,False,True,False,
A6,0.0,False,False,False,True,True,
Ah,0.0,False,False,False,True,False,
Ao,0.0,False,False,False,True,True,39.0
