,DistanceIsolated,DistanceTotal,SameHand,SameKey,SameFinger,Reach,Hurde,Frequency,Keyboard
dd,0.0,0.0,True,True,True,True,False,307.0,CRULP
d),0.0,0.0,False,False,False,True,True,1.0,CRULP
d5,0.0,,True,False,False,True,True,,CRULP
d{,0.0,,False,False,False,True,True,,CRULP
d4,0.0,,True,False,False,True,True,,CRULP
ds,0.0,0.0,True,False,False,True,False,456.0,CRULP
d6,0.0,,False,False,False,True,True,,CRULP
d1,0.0,,True,False,False,True,True,,CRULP
dX,0.0,,True,False,False,True,False,,CRULP
d(,0.0,0.0,False,False,False,True,True,2.0,CRULP
de,0.0,0.0,True,False,True,True,True,205.0,CRULP
d<,0.0,,False,False,False,True,False,,CRULP
dw,0.0,0.0,True,False,False,True,True,1813.0,CRULP
dx,0.0,0.0,True,False,False,True,False,194.0,CRULP
d+,0.0,,False,False,False,True,True,,CRULP
dH,0.0,0.0,False,False,False,True,False,343.0,CRULP
d#,0.0,0.0,True,False,True,True,True,5.0,CRULP
dm,0.0,0.0,False,False,False,True,False,688.0,CRULP
d?,0.0,,False,False,False,True,False,,CRULP
d=,0.0,,False,False,False,True,True,,CRULP
dR,0.0,0.0,True,False,False,True,True,4.0,CRULP
dO,0.0,,False,False,False,True,True,,CRULP
d:,0.0,0.0,False,False,False,True,False,5.0,CRULP
d\,0.0,,False,False,False,True,True,,CRULP
dF,0.0,,True,False,False,True,False,,CRULP
d_,0.0,,False,False,False,True,True,,CRULP
dQ,0.0,,True,False,False,True,True,,CRULP
dB,0.0,,True,False,False,True,False,,CRULP
da,0.0,0.0,True,False,False,True,False,2711.0,CRULP
d[,0.0,,False,False,False,True,True,,CRULP
d-,0.0,0.0,False,False,False,True,True,2.0,CRULP
dc,0.0,0.0,True,False,True,True,False,33.0,CRULP
do,0.0,0.0,False,False,False,True,True,1379.0,CRULP
d&,0.0,0.0,False,False,False,True,True,2.0,CRULP
d!,0.0,0.0,True,False,False,True,True,25.0,CRULP
d^,0.0,0.0,False,False,False,True,True,3.0,CRULP
d',0.0,,False,False,False,True,False,,CRULP
d8,0.0,,False,False,False,True,True,,CRULP
dg,0.0,0.0,True,False,False,True,False,300.0,CRULP
di,0.0,0.0,False,False,False,True,True,3055.0,CRULP
dt,0.0,0.0,True,False,False,True,True,332.0,CRULP
dj,0.0,0.0,False,False,False,True,False,71.0,CRULP
dS,0.0,0.0,True,False,False,True,False,33.0,CRULP
