,Distance,SameHand,SameKey,SameFinger,Reach,Hurde,Frequency
K(,0.0,True,False,False,True,True,7.0
K\,0.0,True,False,False,True,True,
K+,0.0,True,False,False,True,True,
K],0.0,True,False,False,True,True,
KL,0.0,True,False,False,True,False,1.0
KU,0.0,True,False,False,True,True,
Kw,0.0,False,False,False,True,True,57021.0
K`,0.0,False,False,False,True,True,
K1,0.0,False,False,False,True,True,
K),0.0,True,False,False,True,True,
Ke,0.0,False,False,False,True,True,166.0
Ks,0.0,False,False,False,True,False,1328.0
K:,0.0,True,False,False,True,False,145.0
KD,0.0,False,False,False,True,False,6.0
"K,",0.0,True,False,True,True,False,190.0
K3,0.0,False,False,False,True,True,
Kl,0.0,True,False,False,True,False,11940.0
K7,0.0,True,False,False,True,True,
K!,0.0,False,False,False,True,True,54.0
Kp,0.0,True,False,False,True,True,528.0
K>,0.0,True,False,False,True,False,
K~,0.0,False,False,False,True,True,
KO,0.0,True,False,False,True,True,
K5,0.0,False,False,False,True,True,
K0,0.0,True,False,False,True,True,
Kr,0.0,False,False,False,True,True,18509.0
K4,0.0,False,False,False,True,True,
K-,0.0,True,False,False,True,True,24.0
Ka,0.0,False,False,False,True,False,38005.0
K.,0.0,True,False,False,True,False,12.0
KW,0.0,False,False,False,True,True,
KE,0.0,False,False,False,True,True,
K;,0.0,True,False,False,True,False,
K/,0.0,True,False,False,True,False,41.0
Kt,0.0,False,False,False,True,True,18899.0
KQ,0.0,False,False,False,True,True,
KF,0.0,False,False,False,True,False,
Km,0.0,True,False,False,True,False,4261.0
Kf,0.0,False,False,False,True,False,1318.0
KX,0.0,False,False,False,True,False,
Ko,0.0,True,False,False,True,True,850.0
KY,0.0,True,False,False,True,True,
KH,0.0,True,False,False,True,False,4.0
K$,0.0,False,False,False,True,True,6.0
K^,0.0,True,False,False,True,True,4.0
K{,0.0,True,False,False,True,True,
Kx,0.0,False,False,False,True,False,2207.0
K*,0.0,True,False,True,True,True,1.0
KJ,0.0,True,False,False,True,False,204.0
K[,0.0,True,False,False,True,True,
K6,0.0,True,False,False,True,True,
KP,0.0,True,False,False,True,True,
K|,0.0,True,False,False,True,True,3.0
Kz,0.0,False,False,False,True,False,1228.0
KV,0.0,False,False,False,True,False,3.0
K_,0.0,True,False,False,True,True,
KT,0.0,False,False,False,True,True,137.0
KR,0.0,False,False,False,True,True,
K%,0.0,False,False,False,True,True,3.0
K?,0.0,True,False,False,True,False,
Ku,0.0,True,False,False,True,True,
Kn,0.0,True,False,False,True,False,1741.0
KG,0.0,False,False,False,True,False,18.0
K},0.0,True,False,False,True,True,
K&,0.0,True,False,False,True,True,4.0
KI,0.0,True,False,True,True,True,
KC,0.0,False,False,False,True,False,7.0
KB,0.0,False,False,False,True,False,
K2,0.0,False,False,False,True,True,
K8,0.0,True,False,True,True,True,
KA,0.0,False,False,False,True,False,71.0
Kj,0.0,True,False,False,True,False,172.0
Ky,0.0,True,False,False,True,True,159.0
Ki,0.0,True,False,True,True,True,20427.0
Kc,0.0,False,False,False,True,False,114.0
Kd,0.0,False,False,False,True,False,9328.0
Kh,0.0,True,False,False,True,False,128.0
K#,0.0,False,False,False,True,True,7.0
KZ,0.0,False,False,False,True,False,532.0
K9,0.0,True,False,False,True,True,
K@,0.0,False,False,False,True,True,43.0
Kv,0.0,False,False,False,True,False,5773.0
K<,0.0,True,False,True,True,False,
Kq,0.0,False,False,False,True,True,43.0
Kk,0.0,True,True,True,True,False,2224.0
KS,0.0,False,False,False,True,False,7120.0
K',0.0,True,False,False,True,False,4.0
Kb,0.0,False,False,False,True,False,8571.0
KN,0.0,True,False,False,True,False,
Kg,0.0,False,False,False,True,False,120.0
"K""",0.0,True,False,False,True,False,9.0
KM,0.0,True,False,False,True,False,
K=,0.0,True,False,False,True,True,
(K,0.0,True,False,False,True,True,24.0
(\,0.0,True,False,False,True,True,
(+,0.0,True,False,False,True,False,
(],0.0,True,False,False,True,True,
(L,0.0,True,False,True,True,True,
(U,0.0,True,False,False,True,True,
(w,0.0,False,False,False,True,True,133.0
(`,0.0,False,False,False,True,False,
(1,0.0,False,False,False,True,False,
(),0.0,True,False,False,True,False,616.0
(e,0.0,False,False,False,True,True,31.0
(s,0.0,False,False,False,True,True,121.0
(:,0.0,True,False,False,True,True,691.0
(D,0.0,False,False,False,True,True,13.0
"(,",0.0,True,False,False,True,False,4449.0
(3,0.0,False,False,False,True,False,
(l,0.0,True,False,True,True,True,229.0
(7,0.0,True,False,False,True,False,
(!,0.0,False,False,False,True,False,360.0
(p,0.0,True,False,False,True,True,122.0
(>,0.0,True,False,True,True,False,
(~,0.0,False,False,False,True,False,
(O,0.0,True,False,True,True,True,
(5,0.0,False,False,False,True,False,
(0,0.0,True,False,False,True,False,
(r,0.0,False,False,False,True,True,239.0
(4,0.0,False,False,False,True,False,
(-,0.0,True,False,False,True,False,94.0
(a,0.0,False,False,False,True,True,427.0
(.,0.0,True,False,True,True,False,232.0
(W,0.0,False,False,False,True,True,
(E,0.0,False,False,False,True,True,
(;,0.0,True,False,False,True,True,10.0
(/,0.0,True,False,False,True,False,54.0
(t,0.0,False,False,False,True,True,94.0
(Q,0.0,False,False,False,True,True,
(F,0.0,False,False,False,True,True,
(m,0.0,True,False,False,True,False,207.0
(f,0.0,False,False,False,True,True,71.0
(X,0.0,False,False,False,True,False,
(o,0.0,True,False,True,True,True,51.0
(Y,0.0,True,False,False,True,True,
(H,0.0,True,False,False,True,True,15.0
($,0.0,False,False,False,True,False,477.0
