,Key,Frequency,Distance,Finger,Hand,Keyboard
0,`,0,6.0,little,left,Roman
1,1,83191,6.0,little,left,Roman
2,2,103889,5.0,ring,left,Roman
3,3,33469,5.0,middle,left,Roman
4,4,22355,5.0,index,left,Roman
5,5,19615,4.5,index,left,Roman
6,6,20942,5.5,index,right,Roman
7,7,21020,5.0,index,right,Roman
8,8,22235,5.0,middle,right,Roman
9,9,22029,5.0,ring,right,Roman
10,0,104930,5.0,little,right,Roman
11,-,65524,5.0,little,right,Roman
12,=,587,5.5,little,right,Roman
13,q,272385,3.0,little,left,Roman
14,w,370356,3.0,ring,left,Roman
15,e,2752564,3.0,middle,left,Roman
16,r,2082509,3.0,index,left,Roman
17,t,1580682,3.5,index,left,Roman
18,y,1179110,4.0,index,right,Roman
19,u,1088866,3.0,index,right,Roman
20,i,3843759,3.0,middle,right,Roman
21,o,1633309,3.0,ring,right,Roman
22,p,569837,3.0,little,right,Roman
23,[,878,3.5,little,right,Roman
24,],957,5.0,little,right,Roman
25,\,630,6.0,little,right,Roman
26,a,8915201,1.0,little,left,Roman
27,s,1658750,1.0,ring,left,Roman
28,d,933676,1.0,middle,left,Roman
29,f,280885,1.0,index,left,Roman
30,g,500763,3.0,index,left,Roman
31,h,3503372,3.0,index,right,Roman
32,j,549728,1.0,index,right,Roman
33,k,2280463,1.0,middle,right,Roman
34,l,1158583,1.0,ring,right,Roman
35,;,34679,1.0,little,right,Roman
36,',4538,3.0,little,right,Roman
37,z,429764,3.0,little,left,Roman
38,x,3311,3.0,ring,left,Roman
39,c,341297,3.0,middle,left,Roman
40,v,48198,3.0,index,left,Roman
41,b,1170279,4.5,index,left,Roman
42,n,2448549,3.0,index,right,Roman
43,m,1599445,3.0,index,right,Roman
44,",",118271,3.0,middle,right,Roman
45,.,1119764,3.0,ring,right,Roman
46,/,3461,3.0,little,right,Roman
47,shift,460413,2.0,little,left,Roman
48,~,0,6.0,ring,left,Roman
49,!,0,6.0,ring,left,Roman
50,Q,3015,3.0,ring,left,Roman
51,A,87268,1.0,ring,left,Roman
52,Z,6509,3.0,ring,left,Roman
53,@,367,5.0,middle,left,Roman
54,W,3451,3.0,middle,left,Roman
55,S,54849,1.0,middle,left,Roman
56,X,0,3.0,middle,left,Roman
57,#,0,5.0,index,left,Roman
58,E,2685,3.0,index,left,Roman
59,D,17591,1.0,index,left,Roman
60,C,1325,3.0,index,left,Roman
61,$,0,6.0,index,left,Roman
62,R,12760,4.0,index,left,Roman
63,F,14062,2.0,index,left,Roman
64,V,2490,4.0,index,left,Roman
65,%,0,5.5,index,left,Roman
66,T,8984,4.5,index,left,Roman
67,G,6751,4.0,index,left,Roman
68,B,12478,5.5,index,left,Roman
69,`,0,6.0,little,left,Windows
70,1,82925,6.0,little,left,Windows
71,2,103872,5.0,ring,left,Windows
72,3,33469,5.0,middle,left,Windows
73,4,22355,5.0,index,left,Windows
74,5,19613,4.5,index,left,Windows
75,6,20942,5.5,index,right,Windows
76,7,20888,5.0,index,right,Windows
77,8,22231,5.0,middle,right,Windows
78,9,22013,5.0,ring,right,Windows
79,0,104913,5.0,little,right,Windows
80,-,23007,5.0,little,right,Windows
81,=,587,5.5,little,right,Windows
82,q,114383,3.0,little,left,Windows
83,w,182049,3.0,ring,left,Windows
84,e,779657,3.0,middle,left,Windows
85,r,867689,3.0,index,left,Windows
86,t,201238,3.5,index,left,Windows
87,y,571050,4.0,index,right,Windows
88,u,1329748,3.0,index,right,Windows
89,i,1152365,3.0,middle,right,Windows
90,o,840582,3.0,ring,right,Windows
91,p,512996,3.0,little,right,Windows
92,[,957,3.5,little,right,Windows
93,],878,5.0,little,right,Windows
94,\,630,6.0,little,right,Windows
95,a,1575433,1.0,little,left,Windows
96,s,2027184,1.0,ring,left,Windows
97,d,2078212,1.0,middle,left,Windows
98,f,1590769,1.0,index,left,Windows
99,g,1166893,3.0,index,left,Windows
100,h,2110557,3.0,index,right,Windows
101,j,4310964,1.0,index,right,Windows
102,k,2483586,1.0,middle,right,Windows
103,l,3598106,1.0,ring,right,Windows
104,;,34679,1.0,little,right,Windows
105,',3613,3.0,little,right,Windows
106,z,265107,3.0,little,left,Windows
107,x,317540,3.0,ring,left,Windows
108,c,1623547,3.0,middle,left,Windows
109,v,1165234,3.0,index,left,Windows
110,b,346578,4.5,index,left,Windows
111,n,467742,3.0,index,right,Windows
112,m,350802,3.0,index,right,Windows
113,",",118271,3.0,middle,right,Windows
114,.,1119764,3.0,ring,right,Windows
115,/,3460,3.0,little,right,Windows
116,shift,3222203,2.0,little,left,Windows
117,~,0,6.0,ring,left,Windows
118,!,0,6.0,ring,left,Windows
119,Q,63432,3.0,ring,left,Windows
120,A,1192,1.0,ring,left,Windows
121,Z,0,3.0,ring,left,Windows
122,@,367,5.0,middle,left,Windows
123,W,67641,3.0,middle,left,Windows
124,S,254385,1.0,middle,left,Windows
125,X,0,3.0,middle,left,Windows
126,#,0,5.0,index,left,Windows
127,E,45745,3.0,index,left,Windows
128,D,93687,1.0,index,left,Windows
129,C,0,3.0,index,left,Windows
130,$,0,6.0,index,left,Windows
131,R,80431,4.0,index,left,Windows
132,F,946814,2.0,index,left,Windows
133,V,0,4.0,index,left,Windows
134,%,0,5.5,index,left,Windows
135,T,34210,4.5,index,left,Windows
136,G,0,4.0,index,left,Windows
137,B,0,5.5,index,left,Windows
138,`,0,6.0,little,left,CRULP
139,1,0,6.0,little,left,CRULP
140,2,0,5.0,ring,left,CRULP
141,3,0,5.0,middle,left,CRULP
142,4,0,5.0,index,left,CRULP
143,5,0,4.5,index,left,CRULP
144,6,20942,5.5,index,right,CRULP
145,7,20888,5.0,index,right,CRULP
146,8,22231,5.0,middle,right,CRULP
147,9,22013,5.0,ring,right,CRULP
148,0,104913,5.0,little,right,CRULP
149,-,23007,5.0,little,right,CRULP
150,=,587,5.5,little,right,CRULP
151,q,265107,3.0,little,left,CRULP
152,w,2027184,3.0,ring,left,CRULP
153,e,350802,3.0,middle,left,CRULP
154,r,2078212,3.0,index,left,CRULP
155,t,1328094,3.5,index,left,CRULP
156,y,1623547,4.0,index,right,CRULP
157,u,397829,3.0,index,right,CRULP
158,i,3598106,3.0,middle,right,CRULP
159,o,2111123,3.0,ring,right,CRULP
160,p,571050,3.0,little,right,CRULP
161,[,957,3.5,little,right,CRULP
162,],878,5.0,little,right,CRULP
