contrasts,t,df,psi,p
1,113.29304255235141,19815.328668371054,1.4869001948861278,0
2,26.577178483524154,21499.897932061762,0.2824626184393746,0
3,-93.87373458575996,19117.702710206937,-1.2044375764467532,0
4,139.72638159492462,20438.433932099448,1.644893280203347,0
5,102.02907937592266,18311.84367410813,1.3808696817572383,0
6,-17.957004801558007,20716.79816733702,-0.2640235984461087,0
7,-106.10478373832221,19627.966323957877,-1.5225429455371022,0
8,-94.93439147765991,18437.68909484414,-1.314599276485214,0
9,18.48707851517461,21331.02374826758,0.20794366905188832,0
10,-0.30807131415612493,21591.410782959596,-0.002962084656232822,0.7580310401432606
11,38.051258976606846,21572.037334175377,0.3691095949754102,0
12,38.03163604282039,21591.587746453446,0.372071679631643,0
13,8.550664614548738,21592.79169314236,0.07332429213216685,0
14,-1.5891840523089509,21595.645742404206,-0.013592596787619371,0.11203348446684913
15,-10.08352125757107,21597.440322879374,-0.08691688891978622,0
16,20.564215598835485,17503.675534634498,0.28645433526523534,0
17,50.26459170879276,17943.06534926767,0.6792395637828517,0
18,23.623463571122404,21561.148955569435,0.3927852285176163,0
19,-4.909013167808965,21593.911316459365,-0.04459591151809761,9.220348093919029e-7
20,85.26061471531936,16826.723252812888,1.1249897508498137,0
21,88.35276430594311,16965.216255755073,1.1695856623679113,0
22,-25.25670534419603,21357.219619562602,-0.24654788648540205,0
23,45.71103504862477,21549.613346714737,0.45856943173098763,0
24,74.11145031840891,21522.847774866812,0.7051173182163897,0
