,SameHand,SameFinger,SameKey,Reach,Hurdle,Press_L_Little,Press_L_Ring,Press_L_Middle,Press_L_Index,Press_R_Little,Press_R_Ring,Press_R_Middle,Press_R_Index,Dist_L_Little,Dist_L_Ring,Dist_L_Middle,Dist_L_Index,Dist_R_Little,Dist_R_Ring,Dist_R_Middle,Dist_R_Index,Frequency,Keyboard
bb,1,1,1,1,1,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.076,0.0,0.0,0.0,0.0,130,CRULP
b],0,0,0,1,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,3.4078108255508943,3.908723446592381,0.0,0.0,0.0,0,CRULP
ba,1,0,0,0,0,1,0,0,0,0,0,0,0,0.038,0.0,0.0,3.4078108255508943,0.0,0.0,0.0,0.0,2666,CRULP
bK,0,0,0,0,0,1,0,0,0,0,0,1,0,2.81615136376692,0.0,0.0,3.4078108255508943,0.0,0.0,0.038,0.0,106,CRULP
bj,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,3.4078108255508943,0.0,0.0,0.0,0.038,78,CRULP
b@,1,0,0,1,1,0,1,0,0,1,0,0,0,0.0,3.975162683964177,0.0,3.4078108255508943,4.913,0.0,0.0,0.0,3,CRULP
bM,0,0,0,1,0,1,0,0,0,0,0,0,1,2.81615136376692,0.0,0.0,3.4078108255508943,0.0,0.0,0.0,2.1287534527055074,0,CRULP
b{,0,0,0,1,0,1,0,0,0,1,0,0,0,2.81615136376692,0.0,0.0,3.4078108255508943,2.435524765252697,0.0,0.0,0.0,0,CRULP
b~,1,0,0,1,1,1,0,0,0,1,0,0,0,4.916332194510744,0.0,0.0,3.4078108255508943,4.913,0.0,0.0,0.0,0,CRULP
by,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,3.4078108255508943,0.0,0.0,0.0,2.9316352569043667,232,CRULP
b5,1,1,0,1,1,0,0,0,1,0,0,0,0,0.0,0.0,0.0,6.101829818373567,0.0,0.0,0.0,0.0,0,CRULP
b:,0,0,0,0,0,1,0,0,0,1,0,0,0,2.81615136376692,0.0,0.0,3.4078108255508943,0.038,0.0,0.0,0.0,1,CRULP
bD,1,0,0,0,0,0,0,1,0,1,0,0,0,0.0,0.0,0.038,3.4078108255508943,4.913,0.0,0.0,0.0,9,CRULP
b`,1,0,0,1,1,1,0,0,0,0,0,0,0,4.916332194510744,0.0,0.0,3.4078108255508943,0.0,0.0,0.0,0.0,0,CRULP
b1,1,0,0,1,1,1,0,0,0,0,0,0,0,3.975162683964177,0.0,0.0,3.4078108255508943,0.0,0.0,0.0,0.0,0,CRULP
bY,0,0,0,1,0,1,0,0,0,0,0,0,1,2.81615136376692,0.0,0.0,3.4078108255508943,0.0,0.0,0.0,2.9316352569043667,0,CRULP
bC,1,0,0,1,1,0,0,1,0,1,0,0,0,0.0,0.0,2.1287534527055074,3.4078108255508943,4.913,0.0,0.0,0.0,2,CRULP
b},0,0,0,1,0,1,0,0,0,1,0,0,0,2.81615136376692,0.0,0.0,3.4078108255508943,3.908723446592381,0.0,0.0,0.0,0,CRULP
b),0,0,0,1,0,1,0,0,0,1,0,0,0,2.81615136376692,0.0,0.0,3.4078108255508943,3.975162683964177,0.0,0.0,0.0,0,CRULP
b<,0,0,0,1,0,1,0,0,0,0,0,1,0,2.81615136376692,0.0,0.0,3.4078108255508943,0.0,0.0,2.1287534527055074,0.0,0,CRULP
b-,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,3.4078108255508943,3.8110127219504575,0.0,0.0,0.0,1,CRULP
bW,1,0,0,1,1,0,1,0,0,1,0,0,0,0.0,1.9208170383762733,0.0,3.4078108255508943,4.913,0.0,0.0,0.0,0,CRULP
b%,1,1,0,1,1,0,0,0,1,1,0,0,0,0.0,0.0,0.0,6.101829818373567,4.913,0.0,0.0,0.0,0,CRULP
b>,0,0,0,1,0,1,0,0,0,0,1,0,0,2.81615136376692,0.0,0.0,3.4078108255508943,0.0,2.1287534527055074,0.0,0.0,0,CRULP
b=,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,3.4078108255508943,4.265957544725349,0.0,0.0,0.0,0,CRULP
b^,0,0,0,1,0,1,0,0,0,0,0,0,1,2.81615136376692,0.0,0.0,3.4078108255508943,0.0,0.0,0.0,4.916332194510744,0,CRULP
bk,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,3.4078108255508943,0.0,0.0,0.038,0.0,627,CRULP
