,SameHand,SameFinger,SameKey,Reach,Hurdle,Press_L_Little,Press_L_Ring,Press_L_Middle,Press_L_Index,Press_R_Little,Press_R_Ring,Press_R_Middle,Press_R_Index,Dist_L_Little,Dist_L_Ring,Dist_L_Middle,Dist_L_Index,Dist_R_Little,Dist_R_Ring,Dist_R_Middle,Dist_R_Index,Frequency,Keyboard
bb,1,1,1,1,1,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.076,0.0,0.0,0.0,0.0,13619,CRULP
b],0,0,0,1,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,3.4078108255508943,3.908723446592381,0.0,0.0,0.0,9,CRULP
ba,1,0,0,0,0,1,0,0,0,0,0,0,0,0.038,0.0,0.0,3.4078108255508943,0.0,0.0,0.0,0.0,190087,CRULP
bK,0,0,0,0,0,1,0,0,0,0,0,1,0,2.81615136376692,0.0,0.0,3.4078108255508943,0.0,0.0,0.038,0.0,7484,CRULP
bj,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,3.4078108255508943,0.0,0.0,0.0,0.038,11628,CRULP
b@,1,0,0,1,1,0,1,0,0,1,0,0,0,0.0,3.975162683964177,0.0,3.4078108255508943,4.913,0.0,0.0,0.0,95,CRULP
bM,0,0,0,1,0,1,0,0,0,0,0,0,1,2.81615136376692,0.0,0.0,3.4078108255508943,0.0,0.0,0.0,2.1287534527055074,0,CRULP
b{,0,0,0,1,0,1,0,0,0,1,0,0,0,2.81615136376692,0.0,0.0,3.4078108255508943,2.435524765252697,0.0,0.0,0.0,0,CRULP
b~,1,0,0,1,1,1,0,0,0,1,0,0,0,4.916332194510744,0.0,0.0,3.4078108255508943,4.913,0.0,0.0,0.0,0,CRULP
by,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,3.4078108255508943,0.0,0.0,0.0,2.9316352569043667,16374,CRULP
b5,1,1,0,1,1,0,0,0,1,0,0,0,0,0.0,0.0,0.0,6.101829818373567,0.0,0.0,0.0,0.0,0,CRULP
b:,0,0,0,0,0,1,0,0,0,1,0,0,0,2.81615136376692,0.0,0.0,3.4078108255508943,0.038,0.0,0.0,0.0,699,CRULP
bD,1,0,0,0,0,0,0,1,0,1,0,0,0,0.0,0.0,0.038,3.4078108255508943,4.913,0.0,0.0,0.0,790,CRULP
b`,1,0,0,1,1,1,0,0,0,0,0,0,0,4.916332194510744,0.0,0.0,3.4078108255508943,0.0,0.0,0.0,0.0,0,CRULP
b1,1,0,0,1,1,1,0,0,0,0,0,0,0,3.975162683964177,0.0,0.0,3.4078108255508943,0.0,0.0,0.0,0.0,0,CRULP
bY,0,0,0,1,0,1,0,0,0,0,0,0,1,2.81615136376692,0.0,0.0,3.4078108255508943,0.0,0.0,0.0,2.9316352569043667,0,CRULP
bC,1,0,0,1,1,0,0,1,0,1,0,0,0,0.0,0.0,2.1287534527055074,3.4078108255508943,4.913,0.0,0.0,0.0,238,CRULP
b},0,0,0,1,0,1,0,0,0,1,0,0,0,2.81615136376692,0.0,0.0,3.4078108255508943,3.908723446592381,0.0,0.0,0.0,0,CRULP
b),0,0,0,1,0,1,0,0,0,1,0,0,0,2.81615136376692,0.0,0.0,3.4078108255508943,3.975162683964177,0.0,0.0,0.0,10,CRULP
b<,0,0,0,1,0,1,0,0,0,0,0,1,0,2.81615136376692,0.0,0.0,3.4078108255508943,0.0,0.0,2.1287534527055074,0.0,0,CRULP
b-,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,3.4078108255508943,3.8110127219504575,0.0,0.0,0.0,482,CRULP
bW,1,0,0,1,1,0,1,0,0,1,0,0,0,0.0,1.9208170383762733,0.0,3.4078108255508943,4.913,0.0,0.0,0.0,0,CRULP
b%,1,1,0,1,1,0,0,0,1,1,0,0,0,0.0,0.0,0.0,6.101829818373567,4.913,0.0,0.0,0.0,56,CRULP
b>,0,0,0,1,0,1,0,0,0,0,1,0,0,2.81615136376692,0.0,0.0,3.4078108255508943,0.0,2.1287534527055074,0.0,0.0,0,CRULP
b=,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,3.4078108255508943,4.265957544725349,0.0,0.0,0.0,0,CRULP
b^,0,0,0,1,0,1,0,0,0,0,0,0,1,2.81615136376692,0.0,0.0,3.4078108255508943,0.0,0.0,0.0,4.916332194510744,35,CRULP
bk,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,3.4078108255508943,0.0,0.0,0.038,0.0,43985,CRULP
b0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,3.4078108255508943,3.975162683964177,0.0,0.0,0.0,0,CRULP
bR,1,1,0,1,1,0,0,0,1,1,0,0,0,0.0,0.0,0.0,4.954332194510744,4.913,0.0,0.0,0.0,17792,CRULP
b.,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,3.4078108255508943,0.0,2.1287534527055074,0.0,0.0,575,CRULP
bd,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.038,3.4078108255508943,0.0,0.0,0.0,0.0,24491,CRULP
bA,1,0,0,0,0,1,0,0,0,1,0,0,0,0.038,0.0,0.0,3.4078108255508943,4.913,0.0,0.0,0.0,7459,CRULP
b$,1,1,0,1,1,0,0,0,1,1,0,0,0,0.0,0.0,0.0,7.001721984024482,4.913,0.0,0.0,0.0,52,CRULP
bL,0,0,0,0,0,1,0,0,0,0,1,0,0,2.81615136376692,0.0,0.0,3.4078108255508943,0.0,0.038,0.0,0.0,23,CRULP
bX,1,0,0,1,1,0,1,0,0,1,0,0,0,0.0,2.1287534527055074,0.0,3.4078108255508943,4.913,0.0,0.0,0.0,1,CRULP
b/,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,3.4078108255508943,2.1287534527055074,0.0,0.0,0.0,50,CRULP
bm,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,3.4078108255508943,0.0,0.0,0.0,2.1287534527055074,18691,CRULP
bo,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,3.4078108255508943,0.0,1.9208170383762733,0.0,0.0,97272,CRULP
bU,0,0,0,1,0,1,0,0,0,0,0,0,1,2.81615136376692,0.0,0.0,3.4078108255508943,0.0,0.0,0.0,1.9208170383762733,1002,CRULP
b&,0,0,0,1,0,1,0,0,0,0,0,0,1,2.81615136376692,0.0,0.0,3.4078108255508943,0.0,0.0,0.0,3.975162683964177,35,CRULP
bg,1,1,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,2.1667534527055072,0.0,0.0,0.0,0.0,2716,CRULP
b4,1,1,0,1,1,0,0,0,1,0,0,0,0,0.0,0.0,0.0,7.001721984024482,0.0,0.0,0.0,0.0,0,CRULP
b[,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,3.4078108255508943,2.435524765252697,0.0,0.0,0.0,10,CRULP
bn,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,3.4078108255508943,0.0,0.0,0.0,2.139933633585989,58044,CRULP
bO,0,0,0,1,0,1,0,0,0,0,1,0,0,2.81615136376692,0.0,0.0,3.4078108255508943,0.0,1.9208170383762733,0.0,0.0,12,CRULP
b8,0,0,0,1,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,3.4078108255508943,0.0,0.0,3.975162683964177,0.0,0,CRULP
b|,0,0,0,1,0,1,0,0,0,1,0,0,0,2.81615136376692,0.0,0.0,3.4078108255508943,6.05448776280647,0.0,0.0,0.0,3,CRULP
b+,0,0,0,1,0,1,0,0,0,1,0,0,0,2.81615136376692,0.0,0.0,3.4078108255508943,4.265957544725349,0.0,0.0,0.0,9,CRULP
bt,1,1,0,1,1,0,0,0,1,0,0,0,0,0.0,0.0,0.0,4.013162683964177,0.0,0.0,0.0,0.0,40869,CRULP
b*,0,0,0,1,0,1,0,0,0,0,0,1,0,2.81615136376692,0.0,0.0,3.4078108255508943,0.0,0.0,3.975162683964177,0.0,31,CRULP
bh,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,3.4078108255508943,0.0,0.0,0.0,1.913,11835,CRULP
bz,1,0,0,1,1,1,0,0,0,0,0,0,0,2.1287534527055074,0.0,0.0,3.4078108255508943,0.0,0.0,0.0,0.0,4485,CRULP
bB,1,1,1,1,1,0,0,0,1,1,0,0,0,0.0,0.0,0.0,0.076,4.913,0.0,0.0,0.0,0,CRULP
bP,0,0,0,1,0,1,0,0,0,1,0,0,0,2.81615136376692,0.0,0.0,3.4078108255508943,1.9208170383762733,0.0,0.0,0.0,0,CRULP
bZ,1,0,0,1,1,1,0,0,0,1,0,0,0,2.1287534527055074,0.0,0.0,3.4078108255508943,4.913,0.0,0.0,0.0,982,CRULP
bv,1,1,0,1,1,0,0,0,1,0,0,0,0,0.0,0.0,0.0,1.951,0.0,0.0,0.0,0.0,5399,CRULP
bE,1,0,0,1,1,0,0,1,0,1,0,0,0,0.0,0.0,1.9208170383762733,3.4078108255508943,4.913,0.0,0.0,0.0,0,CRULP
bs,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.038,0.0,3.4078108255508943,0.0,0.0,0.0,0.0,34658,CRULP
bS,1,0,0,0,0,0,1,0,0,1,0,0,0,0.0,0.038,0.0,3.4078108255508943,4.913,0.0,0.0,0.0,9360,CRULP
b!,1,0,0,1,1,1,0,0,0,1,0,0,0,3.975162683964177,0.0,0.0,3.4078108255508943,4.913,0.0,0.0,0.0,144,CRULP
