,Finger,Distance,Frequency,Keyboard
[,r_little,0.0,3,CRULP
9,r_ring,0.0,790,CRULP
',r_little,0.0,2695,CRULP
0,r_little,0.0,826,CRULP
=,r_little,0.0,4,CRULP
b,l_index,0.0,16847,CRULP
s,l_ring,0.0,26025,CRULP
3,l_middle,0.0,391,CRULP
k,r_middle,0.0,38951,CRULP
7,r_index,0.0,387,CRULP
e,l_middle,0.0,8213,CRULP
8,r_middle,0.0,420,CRULP
6,r_index,0.0,363,CRULP
y,r_index,0.0,27200,CRULP
g,l_index,0.0,7388,CRULP
l,r_ring,0.0,21694,CRULP
r,l_index,0.0,37929,CRULP
i,r_middle,0.0,60625,CRULP
q,l_little,0.0,6208,CRULP
f,l_index,0.0,5963,CRULP
;,r_little,0.0,398,CRULP
5,l_index,0.0,349,CRULP
",",r_middle,0.0,3081,CRULP
z,l_little,0.0,5453,CRULP
4,l_index,0.0,367,CRULP
m,r_index,0.0,29337,CRULP
o,r_ring,0.0,29013,CRULP
2,l_ring,0.0,745,CRULP
h,r_index,0.0,13762,CRULP
w,l_ring,0.0,35386,CRULP
1,l_little,0.0,1432,CRULP
d,l_middle,0.0,18266,CRULP
],r_little,0.0,3,CRULP
j,r_index,0.0,10704,CRULP
/,r_little,0.0,79,CRULP
-,r_little,0.0,166,CRULP
a,l_little,0.0,76183,CRULP
c,l_middle,0.0,4371,CRULP
v,l_index,0.0,3772,CRULP
`,l_little,0.0,0,CRULP
n,r_index,0.0,43241,CRULP
u,r_index,0.0,6313,CRULP
p,r_little,0.0,8060,CRULP
.,r_ring,0.0,7022,CRULP
x,l_ring,0.0,6102,CRULP
\,r_little,0.0,2,CRULP
t,l_index,0.0,26230,CRULP
l_shift,little,0.0,37496,CRULP
r_shift,little,0.0,20182,CRULP
[,r_little,0.0,3,WINDOWS
9,r_ring,0.0,790,WINDOWS
',r_little,0.0,2695,WINDOWS
0,r_little,0.0,826,WINDOWS
=,r_little,0.0,4,WINDOWS
b,l_index,0.0,6063,WINDOWS
s,l_ring,0.0,40048,WINDOWS
3,l_middle,0.0,391,WINDOWS
k,r_middle,0.0,41455,WINDOWS
7,r_index,0.0,387,WINDOWS
e,l_middle,0.0,9027,WINDOWS
8,r_middle,0.0,420,WINDOWS
6,r_index,0.0,363,WINDOWS
y,r_index,0.0,8060,WINDOWS
g,l_index,0.0,21694,WINDOWS
l,r_ring,0.0,60625,WINDOWS
r,l_index,0.0,18266,WINDOWS
i,r_middle,0.0,16847,WINDOWS
q,l_little,0.0,3772,WINDOWS
f,l_index,0.0,43241,WINDOWS
;,r_little,0.0,398,WINDOWS
5,l_index,0.0,349,WINDOWS
",",r_middle,0.0,3081,WINDOWS
z,l_little,0.0,6208,WINDOWS
4,l_index,0.0,367,WINDOWS
m,r_index,0.0,8213,WINDOWS
o,r_ring,0.0,12815,WINDOWS
2,l_ring,0.0,745,WINDOWS
h,r_index,0.0,29842,WINDOWS
w,l_ring,0.0,4845,WINDOWS
1,l_little,0.0,1432,WINDOWS
d,l_middle,0.0,37929,WINDOWS
],r_little,0.0,3,WINDOWS
j,r_index,0.0,76183,WINDOWS
/,r_little,0.0,79,WINDOWS
-,r_little,0.0,166,WINDOWS
a,l_little,0.0,29376,WINDOWS
c,l_middle,0.0,27200,WINDOWS
v,l_index,0.0,22488,WINDOWS
`,l_little,0.0,0,WINDOWS
n,r_index,0.0,6601,WINDOWS
u,r_index,0.0,22762,WINDOWS
p,r_little,0.0,9243,WINDOWS
.,r_ring,0.0,7022,WINDOWS
x,l_ring,0.0,5963,WINDOWS
\,r_little,0.0,2,WINDOWS
t,l_index,0.0,4470,WINDOWS
l_shift,little,0.0,25368,WINDOWS
r_shift,little,0.0,24963,WINDOWS
[,r_little,0.0,1,IME
9,r_ring,0.0,800,IME
',r_little,0.0,2653,IME
0,r_little,0.0,837,IME
=,r_little,0.0,3,IME
b,l_index,0.0,17056,IME
s,l_ring,0.0,33029,IME
3,l_middle,0.0,383,IME
k,r_middle,0.0,37175,IME
7,r_index,0.0,385,IME
e,l_middle,0.0,58473,IME
8,r_middle,0.0,417,IME
6,r_index,0.0,358,IME
y,r_index,0.0,15856,IME
g,l_index,0.0,7837,IME
l,r_ring,0.0,22311,IME
r,l_index,0.0,37143,IME
i,r_middle,0.0,64539,IME
q,l_little,0.0,6310,IME
f,l_index,0.0,5955,IME
;,r_little,0.0,375,IME
5,l_index,0.0,349,IME
",",r_middle,0.0,3050,IME
z,l_little,0.0,7589,IME
4,l_index,0.0,364,IME
m,r_index,0.0,29914,IME
o,r_ring,0.0,24098,IME
2,l_ring,0.0,738,IME
h,r_index,0.0,48594,IME
w,l_ring,0.0,7684,IME
1,l_little,0.0,1411,IME
d,l_middle,0.0,19788,IME
],r_little,0.0,1,IME
j,r_index,0.0,9044,IME
/,r_little,0.0,80,IME
-,r_little,0.0,1060,IME
a,l_little,0.0,157591,IME
c,l_middle,0.0,6122,IME
v,l_index,0.0,1038,IME
`,l_little,0.0,0,IME
n,r_index,0.0,42974,IME
u,r_index,0.0,23229,IME
p,r_little,0.0,8185,IME
.,r_ring,0.0,7125,IME
x,l_ring,0.0,117,IME
\,r_little,0.0,4,IME
t,l_index,0.0,29666,IME
l_shift,little,0.0,8150,IME
r_shift,little,0.0,6762,IME
