contrasts,t,df,psi,p
1,-31.008835843919563,21497.13745712161,-0.25706508089885505,0
2,75.78681673714419,21563.471092362135,0.5945978392512763,0
3,104.62505773192663,21347.996631474038,0.8516629201501313,0
4,51.48573372869337,21596.33141287833,0.3992854974042723,0
5,26.51218368145158,21405.626446096114,0.2151556395326213,0
6,-22.598564958304237,21439.134004124513,-0.18412985787165104,0
7,-72.59435711288027,21296.869349570246,-0.6960155506892779,0
8,-75.7318149373415,20799.540093483753,-0.7023269097358137,0
9,-0.7284144544274018,21464.526787882638,-0.006311359046535792,0.4663678641694071
10,1.1420195248172273,21596.967812099396,0.00921905123465594,0.25345856508542486
11,-12.10805994664411,21400.18496631013,-0.10245452903219188,0
12,-13.156240708262166,21427.16830084749,-0.11167358026684782,0
13,11.888811587811702,21534.093951794854,0.09499534597838144,0
14,-2.9287396773384375,21585.717217214307,-0.024322360842085278,0.0034069510760399435
15,-14.744035156242232,21466.62947058516,-0.11931770682046672,0
16,12.567878356487553,21585.15574170911,0.11485301456463559,0
17,-27.243172565164162,21574.349740506525,-0.24193700376600802,0
18,-39.667065887151715,21526.934261499955,-0.3567900183306436,0
19,-2.787432120413326,21550.877479879215,-0.02325016199108143,0.005317408955120229
20,52.42755333502113,21127.543569842044,0.3982723038775402,0
21,53.987251551165805,20809.745585117085,0.42152246586862163,0
22,-27.675148054240243,21340.85539947444,-0.2489680522634372,0
23,-15.415038669892018,21499.344931355317,-0.14137802748083583,0
24,12.404288539214958,21559.343149819095,0.10759002478260138,0
