sentence,log10_score
یہ خاندان کیپیشان کا قدیم ترین سلسلہ ہے۔,-3.540851354598999
شیخ رضی الدین عالمگیری کی مجلس کے حصہ,-3.582373857498169
ان کے جنازے میں چالیس لاکھ افراد شریک ہوئے۔,-2.658472696940104
موجودہ دور میں کشمیری زبان کا فارسی زبان کے مطابق ہیں,-2.1026847145774146
سماٹرا - مغرب میں، آبنائے ملاکا کے بالکل سامنے,-3.935277303059896
ابتدا میں متحدہ قومی موومنٹ کہلانے والی جماعت سے وابستہ رہے۔,-2.737427971579812
توحید کے معنی ہیں کہ خالق کائنات کو ایک جاننا۔,-2.8693729400634767
یہ مغربی چین کی ہوا بازی میں کلیدی حیثیت رکھتا ہے۔,-2.892243645407937
پنجاب اعلی اعلی وزیر سید رضا علی گیلانی،,-4.294567108154297
کئی تصانیف پر تبصرے، تنقید اور مراسلے لکھنے لگے۔,-4.2328978644476996
بعد ازاں بچے اسکول جاتے ہیں جو عمارت سے ملحقہ ہے۔,-2.1795132376930932
یہودی اور مسلمان ایک دوسرے کے حلیف ہوں گے۔,-2.5225613911946616
بیشتر صنعتیں شہر کے مشرق میں واقع ہیں۔,-2.3667104244232178
کشیدند لشکر بہ دشت و دریا پس پشت کرد,-3.8525140550401478
یو یو ہنی سنگھ ایک ہندوستانی گلوکار ہے-,-3.9462246894836426
کشمیری لوئیوں اور دھسوں کی فروخت کا کاروبار شروع کیا۔,-3.982787322998047
ان کی تعداد زنانہ مورتیوں سے کہیں زیادہ ہے۔,-1.853457556830512
اس کے اوپر پٹیوں میں مویشیوں یا بکریوں کی تصویریں ہیں۔,-1.745950005271218
یہ قابل ذکر افغانستانی شخصیات کی فہرست ہے۔,-3.2398436069488525
بعض جید بزرگ علما نے انہیں مسترد کر دیا ہے۔,-3.109905242919922
زیادہ تر انفیکشن میں کئی قسم کے بیکٹیریا شامل ہوتے ہیں۔,-3.2448175603693183
صحابی جن کا اصل نام یسار اور کنیت ابو فکیہ تھی۔,-3.40555121681907
نومولود کافی دیر تک حضرت شاہ کمال کی انگلی چوستا رہا۔,-3.758616707541726
وہ بہادر بھی ہے اور نڈر بھی ہے۔,-3.032325506210327
چکوال میں قومی اسمبلی کے دو این اے۔,-3.3395299911499023
دوسرے حصے میں اہم ترین میلے سبی میلہکا ہر سال انعقاد,-3.6132129322398794
پوتا: میثم بن حسن میدان کربلا میں شہید ہوئے,-3.411464055379232
یوسف رضا گیلانی - سابقہ وزیر اعظم پاکستان,-2.2096543312072754
افریقی نظموں کے تراجم پر مشتمل مجموعہ کالا پینڈا,-3.601090749104818
وہ اس کے لیے قربانی دینے سے بھی دریغ نہیں کرتی۔,-2.569978887384588
آسہ کے فرقہ میں سے ستور بن میکائیل,-4.802949905395508
میر بہادر علی حسینی فورٹ ولیم کالج کے میر منشی تھے۔,-2.555986924604936
جامعہ پنجاب کے لیے متعدد تحقیقی مقالات تحریر کیے۔,-3.459988064236111
لیکن چار دن میں ہتھیار ڈال چکی تھی۔,-3.2238457202911377
مینا شاہ اپنے والد کی اکلوتی اولاد تھی۔,-3.25319766998291
ان لوگوں کی زراعت خاصی ترقی یافتہ تھی۔,-2.2202491760253906
جس سے اس کی زندگی کی تفصیلی تصویر بنائی,-2.338499493069119
قلعہ لاہور کے شیش محل کی تعمیر کا آغاز ہوا۔,-2.2785966873168944
حمد و لیے ہے تو قائم رکھنے والا ہے۔,-2.925885730319553
ان کی نماز جنازہ محمد ہزاروی نے ادا کی۔,-3.3973600599500866
