,Stim
0,اس کے نے اس کی تربیت کی تھی
1,کہ اس کا اپنے قاتلوں سے کوئی بھی
2,برہما پیدائش کے لیے مستعمل لفظ سے مشتق
3,نہ بتانا مہ کشوں کو کہ پیامی ہے
4,شبنم جو گرتی ہے تو اٹھاتا ہے آفتاب
5,دیپ جلانے کا مزہ اور ہی کچھ ہے
6,پاکستان میں لڑکیوں کی تعلیم کے لیے جنگ
7,ازل سے میری ادھوری سی داستاں کے لیے
8,میکسیکو کے دیگر استعمالات کے لیے دیکھیے میکسیکو
9,یورپ کے مشہور ہیکل تراشوں سے بنوا کے
10,پاکستان کے خلاف بھی کسی بھی ٹیم کا
11,اور اس کی ینگ وائف اس سے پوچھ
12,اب آپ یہ بتائیں کہ یہ کیا ہے
13,اب کیا کر دیا ہے انکل میں نے
14,سٹریس کم ہوا کہ اور بڑھ گیا ہے
15,ہے آپ کی تسبیح و مناجات کی رات
16,اسیر ہو کے جسے شامیوں کے نرغے میں
17,گیا ایک دن اس کے کوچے میں ناگاہ
18,غم نے کی یاں سے رخش کو مہمیز
19,میں نے کہا پوچھو بیٹا کیا بات ہے
20,کچھ بندشوں کو چست کرنے کی ضرورت ہے
21,12 ویں رمضان المبارک 1425 ھ کو ہوگئے
22,کہ اپنوں ہی کے دل سے دربدر تھے
23,انہیں کی سالگرہ کے لئے ہے یہ توقیر
24,میں سکی کر کے چڑھا اور اترا گیا
25,مگر ہے ہی نہیں تو کدھر سے لاتی
26,قباحت کیا ہے آپ کا نام لینے میں
27,بانویا کے والد کے طور پر گھوشنھ راہرہ
28,جنرل مشرف کی سیاست میڈیا کے کندھوں پر
29,ہم تو تفریق کے ہندسے نہیں جوڑا کرتے
30,کہنے سے میر اور بھی ہوتا ہے مضطرب
31,ڈھیر پھولوں کے چڑھے عاشقوں کی قبروں پر
32,اس کا بھی دل نہیں کر رہا بھیا
33,اس میں بلوچستان کا شہر لورالائی شامل ہے
34,رتبہ سے تنزل کرے تو ظل ہما ہو
35,ہمارے خلف الرشید محمد عثمان خلیل کی کاوش
36,مینا شاہ کی پیدائش کے شہر بلرامپور 1937ء
37,سارہ بشارت گیلانی ، نومبر 26 ، 2012
38,فیصل عظیم فیصل ، فروری 9 ، 2010
39,محمد یعقوب آسی ، جنوری 7 ، 2013
40,محمد یعقوب آسی ، جنوری 12 ، 2013
41,فیصل عظیم فیصل ، جنوری 9 ، 2009
42,اس کو فیاضی سے میں نے بخشی یہ سوغات
43,یہاں تو آپ کا ہی طوطی بولتا ہے
44,خوگر نہیں کچھ یونہی ہم ریختہ گوئی کے
45,اور سنائیں آپ کی طرف موسم کیسا ہے
46,اور ہیروئین بھی رہبانیت کا لبادہ اوڑھ لیتی ہے
47,میٹھے پانی کے حوض کی مچھلیوں کی فہرست
48,یہ مغرب میں جو بادلوں کی ہے باڑ
49,جی اس کی ایک وجہ تو جینز ہیں
50,اب چاک رہا ہے نہ گریبان رہا ہے
51,وہ تو لمحوں کی پرستار بنی بیٹھی ہے
52,تو دیکھا کہ ریوڑ یہ بکروں کا تھا
53,کولا مشروبات کے استعمال سے کینسر کا خطرہ
54,بولیویا کی امریکی سفارتخانہ بند کرنے کی دھمکی
55,آپ کو بھولیں میں جو ہم کیسے کہیں
56,یہ بھی کوئی پوچھنے والی بات ہے بھیا
57,فرخ السلام و علیکم و رحمتہ اللہ :
58,کیا اس کا مطلب ہم یہ لیں کہ
59,جمالیاتی حس زوروں پر اور کام سے فراغت ہے
60,ہوا کے حکم کی تعمیل ہونے والی ہے
61,خدا کی خدمت تیمیہ کے رسالہ العبودیہ کا
62,مونس و دمساز مری آہ ہے فریاد ہے
63,اجاڑ دے میرے دل کی دنیا پر تبصرے
64,قیامت پھر رہی ہے تیری مستانہ نگاہوں میں
65,رہبری کی دہن یار کی جانب خط نے
66,یہ قیل و قال کا دیتے ہیں منشور
67,اس میں دودھ بھی تو ہونا چاہیے تھا
68,ہم جانتے ہیں اس کا محرک کیا ہے
69,انٹرنیٹ مووی ڈیٹابیس پر حمد بن خلیفہ الثانی
70,نہ ستا پہنا بھی دے یہ کنگنا دیوداس
71,پاکستان بدعنوانی کے گراف میں اور بھی نیچے
72,مگر سوال زمیں کی بھی آبرو کا تھا
73,وعلیکم السلام سارہ کیا حال ہیں آپ کے
74,ابھی تو راوی چین ہی چین لکھتا ہے
75,م کی بات کردی آپ نے شمشاد بھائی
76,امریکہ تک ان قبائلیوں کی پہنچ نہیں ۔
77,محمد بلال خان ، جنوری 8 ، 2013
78,لیا اس سے جاکر خبر اور اثر کو
79,فخر کس چیز کا ہے ان کے تئیں
80,ایسی ذلت کہ نہیں جس کا مداوا کوئی
81,کوئی ہم میں سے رہ گیا ہے کہیں
82,متن میں مذکور الفاظ سنن نسائی کے ہیں
83,زیک کے اس پیغام کے مطابق 06 جولائی 2007
84,دوست یہ آپ سے کس نے کہ دیا
85,جب آدی کے پیٹ میں آتی ہیں روٹیاں
86,لیں میں تو آگئی پر آپ کہاں ہے
87,ہندستان کی نوابی ریاستیں تا مالدیپ سکم سراواک
88,اور میں انتظار بھی شروع کر دیا ہے
89,اپنی مرضی سے سجاوٹ کر کے سرو کریں
90,اور آپ سب کو معلومات فراہم کی ہے
91,بہر حال دہریت بھی ایک بہانہ ہوتی ہے
92,خود ہم بکھر گئے تیری زلفیں سنوار کے
93,آپ نے تو دل گارڈن گارڈن کر دیا
94,اللہ سدا مہربان رہے آپ سب پر آمین
95,ٹیگ : ڈاکٹر کلیم عاجز ، کلیم عاجز
96,اور چکن کے لیے پانی کی ضرورت نہیں ہے
97,وار فکشن کے حوالے سے افسانوں کا ایک
98,وہ سنہ 2013ء سے کنیست کے اسپیکر ہیں۔
99,معشوق جو تھا اپنا باشندہ دکن کا تھا
100,آیئے ہم آپ کچھ اسلام کی باتیں کریں
101,ارے آپ نے اس کو جگا کر سوپ بنوایا
102,اوہو میرے پاس پرس ہوتا ہی نہیں ہے
103,آپ سے تو میں پہلے ہی ڈرتا ہوں
104,میری حمیت خاطر کا وہ ساماں بھی گیا
105,جس کے ہنگاموں میں ہو ابلیس کا سوز دروں
106,سعود بن سعید ، جولائی 23 ، 2009
107,اس سے پہلے کہ میں اس سے کچھ پوچھتا
108,کہ ہم نے پتھروں میں عمر کاٹی تھی
109,میں بھیا کی لاڈلی بہن ہوں اس لیے
110,اس لیے اس کا نام بروڈ پیک ہے۔
111,ان عفو و تحمل اور روش کی متانت
112,خلل پذیر بود ہر بنا کہ مے بینی
113,""""""" ہاں اس کی وجہ یہی ہے """""""
114,دھوکے سے اس حسین کو اگر چوم بھی لیا
115,تیرے بغیر کہیں بود و باش کیا کرتا
116,کو بہ کو پھیل گئی بات شناسائی کی
117,یہ کیسی باتیں شروع ہوگئی ہیں یہاں پر
118,سیدہ سعیدہ کے یونانی حکیم کی دختر تھی۔
119,اک دوسرے کے ہمسفر میں اور میری آوارگی
120,جس چیز کو زندگی کا دیتے ہیں لقب
121,تیر بھی لیکن بہت سے دیئے گئے ہیں
122,گھسے سب ناخن تدبیر اور ٹوٹا سر سوزن
123,اور بابائے ٹیگ جیسے قیمتی القابات جیتنے کے بعد
124,میری طرف سے یہ پھول آپ کے لئے
125,اس حدتک تو میں موٹی ہو نے سے رہی
126,ہاں یہ تو آپ نے بلکل ٹھیک کہا
127,ایک زمانے کے بعد ہم بھی آگئے ہیں
128,تیز ہے دریائے دل اپنی روانی میں بہت
129,اس کا کرتب مہابھارت میں بیان ہوا ہے۔
130,میں نے وہ اسٹوری بھی ٹائپ کر دی ہے
131,محمد بلال اعظم ، جنوری 18 ، 2013
132,محمد بلال اعظم ، فروری 3 ، 2013
133,محمد بلال اعظم ، جولائی 16 ، 2013
134,جن کی آنکھیں نہیں وہ نہ روئیں کبھی
135,بھائی سے بھائی کے کچھ تقاضے بھی ہیں
136,یہ دل یہ نظر یہ دہن یہ زباں
137,کچھ مشکلیں ایسی ہیں کہ آساں نہیں ہوتیں
138,آسمانی قلعے شیطان کی پہنچ سے محفوظ ہیں
139,نیچے دھرتی بدلی سر پر کوئی آکاش نہیں
140,بات کو ایک وضاحت سے شروع کر ۔
141,دو تصدفی متغیر سمتیہ اور سمتیہ کے درمیان تضایف
142,جب سے تم سے آنکھیں چار ہوئیں ہیں
143,انگولا سے زائر تک سیاست کے حوالے سے ایک
144,تو مقتدر ہے خدایا یہ التجا سن لے
145,جبکہ معزز مہمان سٹیج پر جلوہ افروز ہیں
146,غلام ربانی فدا ، ستمبر 28 ، 2013
147,گپ شپ میں کیا گپ ہو رہی ہے
148,میں تو پیداوار ہوں سستے زمانے کی میاں
149,آنکھوں سے کر رہے ہیں بیاں اپنی کیفیت
150,مزید اس صفحہ پر ملحظہ کریں جزائر ایران
151,اور قوم مختلف دھاروں میں بہہ رھی ھے
152,کھیلے ہوئے تو ساتھ کے پہنچے بہشت میں
153,کہ آئے تھے کیونکر اور کیا کر چلے
154,بی بی سی کی خبریں اختصار کے ساتھ
155,نہیں ہوگا ناں بھیا کل بھی کھائی تھی
156,تاکہ ان کی محنت سے سب مستفید ہوسکیں
157,جارج فہیر کے ساتھ کیمسٹری میں وولف پرائز
158,روشنی دن کے اندھیروں میں سمٹ جاتی ہے
159,قیصرانی ، پیر بوقت 12 : 17 شام
160,جیہ ، پیر بوقت 6 : 00 شام
161,قیصرانی ، جمعہ بوقت 3 : 22 شام
162,آپ صلی اللہ علیہ و سلم نے فرمایا
163,اس میں بریک کی اجازت نہیں ہے محسن
164,جہاں میں روز واک کے لئے نکلتی ہوں
165,کسی زنداں کی ضرورت ہی نہیں پیش آئی
166,کسی کے تیر ہوں لیکن کمان اس کی تھی
167,پنجاب اور سندھ کے علاوہ بلوچستان میں بھی۔
168,آسٹریلیا نے وہ میچ پانچ وکٹ سے جیتا
169,وہ وہ نکات اٹھاتی ہے یہ حکومت کہ
170,کہ تیرے خون سے قائم ہے اس کی شادابی
171,دے کر کیاجاتا ہے روشن جن چراغوں کو
172,کسی نے پیش کیا ہے بڑھا چڑھا کے مجھے
173,یہیں سے ان کی اس خلش کا آغاز ہوا
174,یاد رکھنا تو ساغر کی اس بات کو
175,اور اکثر تو اشکوں میں دھل جاتے ہیں
176,ییاتی کے دو بیٹے پورو اور یادو تھے۔
177,ساقی کے گیسو کی ہوا کھا رہا ہوں
178,یہاں بلاگ تھیم کے کوڈ میں اس کوڈ
179,ان کی تحریروں میں غضب کی دلکشی اور تاثیر ہے
180,کام کی باتیں کرتے ہیں محمد بھائی آپ
181,میرا تو کوئی پیپر رات کو نہیں ہوا
182,مونسون بادلوں اور بارشوں کا ایک سلسلہ ہے۔
183,یہ تو بالکل پھیکے پٹ کباب بنیں گے
184,اللہ آپ کے علم میں اور اضافہ کرے
185,اور ٹانگوں کی ہڈیاں دونوں ایک جیسی ہیں
186,رات نم نم ہے اور بس میں ہوں
187,اس میں کے عملے کی گنجائش ہوتی ہے
188,مجھے یقیں ہے گھنے بادلوں کے سائے میں
189,ایم اے راجا ، اگست 2 ، 2008
190,محمد شمیل قریشی ، جولائی 22 ، 2006
191,اور ہم نے لیٹ ڈنر میں چپلی کباب کھائے
192,اس میں اپنے ڈراما کو قسطوار شایع کیا۔
193,ریاضی اور فلسفے کے مضامین کے ساتھ گریجویشن کی۔
