,Key,Frequency,Finger,Hand,Keyboard
0,`,0,little,left,Roman
1,1,1499,little,left,Roman
2,2,777,ring,left,Roman
3,3,407,middle,left,Roman
4,4,382,index,left,Roman
5,5,370,index,left,Roman
6,6,376,index,right,Roman
7,7,409,index,right,Roman
8,8,447,middle,right,Roman
9,9,829,ring,right,Roman
10,0,863,little,right,Roman
11,-,1010,little,right,Roman
12,=,0,little,right,Roman
13,q,6370,little,left,Roman
14,w,7741,ring,left,Roman
15,e,58791,middle,left,Roman
16,r,37434,index,left,Roman
17,t,29898,index,left,Roman
18,y,15985,index,right,Roman
19,u,23385,index,right,Roman
20,i,65052,middle,right,Roman
21,o,24256,ring,right,Roman
22,p,8258,little,right,Roman
23,[,0,little,right,Roman
24,],0,little,right,Roman
25,\,3,little,right,Roman
26,a,158819,little,left,Roman
27,s,33267,ring,left,Roman
28,d,19977,middle,left,Roman
29,f,6016,index,left,Roman
30,g,7925,index,left,Roman
31,h,48957,index,right,Roman
32,j,9119,index,right,Roman
33,k,37319,middle,right,Roman
34,l,22508,ring,right,Roman
35,;,52,little,right,Roman
36,',399,little,right,Roman
37,z,7674,little,left,Roman
38,x,119,ring,left,Roman
39,c,6187,middle,left,Roman
40,v,1050,index,left,Roman
41,b,17208,index,left,Roman
42,n,43259,index,right,Roman
43,m,30156,index,right,Roman
44,",",39,middle,right,Roman
45,.,9309,ring,right,Roman
46,/,35,little,right,Roman
47,shift,372,little,left,Roman
48,`,0,little,left,Windows
49,1,1522,little,left,Windows
50,2,784,ring,left,Windows
51,3,415,middle,left,Windows
52,4,385,index,left,Windows
53,5,371,index,left,Windows
54,6,382,index,right,Windows
55,7,411,index,right,Windows
56,8,451,middle,right,Windows
57,9,832,ring,right,Windows
58,0,866,little,right,Windows
59,-,117,little,right,Windows
60,=,1,little,right,Windows
61,q,3800,little,left,Windows
62,w,4890,ring,left,Windows
63,e,9097,middle,left,Windows
64,r,18434,index,left,Windows
65,t,4517,index,left,Windows
66,y,8128,index,right,Windows
67,u,22936,index,right,Windows
68,i,16998,middle,right,Windows
69,o,12920,ring,right,Windows
70,p,9309,little,right,Windows
71,[,0,little,right,Windows
72,],0,little,right,Windows
73,\,2,little,right,Windows
74,a,29611,little,left,Windows
75,s,40339,ring,left,Windows
76,d,38223,middle,left,Windows
77,f,43521,index,left,Windows
78,g,21883,index,left,Windows
79,h,30071,index,right,Windows
80,j,76811,index,right,Windows
81,k,41658,middle,right,Windows
82,l,61160,ring,right,Windows
83,;,49,little,right,Windows
84,',300,little,right,Windows
85,z,6266,little,left,Windows
86,x,6022,ring,left,Windows
87,c,27256,middle,left,Windows
88,v,22622,index,left,Windows
89,b,6132,index,left,Windows
90,n,6684,index,right,Windows
91,m,8296,index,right,Windows
92,",",47,middle,right,Windows
93,.,9298,ring,right,Windows
94,/,36,little,right,Windows
95,shift,48105,little,left,Windows
96,`,0,little,left,CRULP
97,1,1522,little,left,CRULP
98,2,784,ring,left,CRULP
99,3,415,middle,left,CRULP
100,4,385,index,left,CRULP
101,5,371,index,left,CRULP
102,6,382,index,right,CRULP
103,7,411,index,right,CRULP
104,8,451,middle,right,CRULP
105,9,832,ring,right,CRULP
106,0,866,little,right,CRULP
107,-,117,little,right,CRULP
108,=,1,little,right,CRULP
109,q,6266,little,left,CRULP
110,w,35619,ring,left,CRULP
111,e,8296,middle,left,CRULP
112,r,38223,index,left,CRULP
113,t,26442,index,left,CRULP
114,y,27256,index,right,CRULP
115,u,6421,index,right,CRULP
116,i,61160,middle,right,CRULP
117,o,29199,ring,right,CRULP
118,p,8128,little,right,CRULP
119,[,0,little,right,CRULP
120,],0,little,right,CRULP
121,\,2,little,right,CRULP
122,a,76811,little,left,CRULP
123,s,26190,ring,left,CRULP
124,d,18434,middle,left,CRULP
125,f,6022,index,left,CRULP
126,g,7464,index,left,CRULP
127,h,13861,index,right,CRULP
128,j,10804,index,right,CRULP
129,k,39129,middle,right,CRULP
130,l,21883,ring,right,CRULP
131,;,49,little,right,CRULP
132,',300,little,right,CRULP
133,z,5517,little,left,CRULP
134,x,6171,ring,left,CRULP
135,c,4397,middle,left,CRULP
136,v,3800,index,left,CRULP
137,b,16998,index,left,CRULP
138,n,43521,index,right,CRULP
139,m,29572,index,right,CRULP
140,",",47,middle,right,CRULP
141,.,9298,ring,right,CRULP
142,/,36,little,right,CRULP
143,shift,55778,little,left,CRULP
