,Key,Frequency,Finger,Hand,Keyboard
0,`,0,little,left,Roman
1,1,83191,little,left,Roman
2,2,103889,ring,left,Roman
3,3,33469,middle,left,Roman
4,4,22355,index,left,Roman
5,5,19615,index,left,Roman
6,6,20942,index,right,Roman
7,7,21020,index,right,Roman
8,8,22235,middle,right,Roman
9,9,22029,ring,right,Roman
10,0,104930,little,right,Roman
11,-,65524,little,right,Roman
12,=,587,little,right,Roman
13,q,272385,little,left,Roman
14,w,370356,ring,left,Roman
15,e,2752564,middle,left,Roman
16,r,2082509,index,left,Roman
17,t,1580682,index,left,Roman
18,y,1179110,index,right,Roman
19,u,1088866,index,right,Roman
20,i,3843759,middle,right,Roman
21,o,1633309,ring,right,Roman
22,p,569837,little,right,Roman
23,[,878,little,right,Roman
24,],957,little,right,Roman
25,\,630,little,right,Roman
26,a,8915201,little,left,Roman
27,s,1658750,ring,left,Roman
28,d,933676,middle,left,Roman
29,f,280885,index,left,Roman
30,g,500763,index,left,Roman
31,h,3503372,index,right,Roman
32,j,549728,index,right,Roman
33,k,2280463,middle,right,Roman
34,l,1158583,ring,right,Roman
35,;,34679,little,right,Roman
36,',4538,little,right,Roman
37,z,429764,little,left,Roman
38,x,3311,ring,left,Roman
39,c,341297,middle,left,Roman
40,v,48198,index,left,Roman
41,b,1170279,index,left,Roman
42,n,2448549,index,right,Roman
43,m,1599445,index,right,Roman
44,",",118271,middle,right,Roman
45,.,1119764,ring,right,Roman
46,/,3461,little,right,Roman
47,shift,460413,little,left,Roman
48,~,0,ring,left,Roman
49,!,0,ring,left,Roman
50,Q,3015,ring,left,Roman
51,A,87268,ring,left,Roman
52,Z,6509,ring,left,Roman
53,@,367,middle,left,Roman
54,W,3451,middle,left,Roman
55,S,54849,middle,left,Roman
56,X,0,middle,left,Roman
57,#,0,index,left,Roman
58,E,2685,index,left,Roman
59,D,17591,index,left,Roman
60,C,1325,index,left,Roman
61,$,0,index,left,Roman
62,R,12760,index,left,Roman
63,F,14062,index,left,Roman
64,V,2490,index,left,Roman
65,%,0,index,left,Roman
66,T,8984,index,left,Roman
67,G,6751,index,left,Roman
68,B,12478,index,left,Roman
69,`,0,little,left,Windows
70,1,82925,little,left,Windows
71,2,103872,ring,left,Windows
72,3,33469,middle,left,Windows
73,4,22355,index,left,Windows
74,5,19613,index,left,Windows
75,6,20942,index,right,Windows
76,7,20888,index,right,Windows
77,8,22231,middle,right,Windows
78,9,22013,ring,right,Windows
79,0,104913,little,right,Windows
80,-,23007,little,right,Windows
81,=,587,little,right,Windows
82,q,114383,little,left,Windows
83,w,182049,ring,left,Windows
84,e,779657,middle,left,Windows
85,r,867689,index,left,Windows
86,t,201238,index,left,Windows
87,y,571050,index,right,Windows
88,u,1329748,index,right,Windows
89,i,1152365,middle,right,Windows
90,o,840582,ring,right,Windows
91,p,512996,little,right,Windows
92,[,957,little,right,Windows
93,],878,little,right,Windows
94,\,630,little,right,Windows
95,a,1575433,little,left,Windows
96,s,2027184,ring,left,Windows
97,d,2078212,middle,left,Windows
98,f,1590769,index,left,Windows
99,g,1166893,index,left,Windows
100,h,2110557,index,right,Windows
101,j,4310964,index,right,Windows
102,k,2483586,middle,right,Windows
103,l,3598106,ring,right,Windows
104,;,34679,little,right,Windows
105,',3613,little,right,Windows
106,z,265107,little,left,Windows
107,x,317540,ring,left,Windows
108,c,1623547,middle,left,Windows
109,v,1165234,index,left,Windows
110,b,346578,index,left,Windows
111,n,467742,index,right,Windows
112,m,350802,index,right,Windows
113,",",118271,middle,right,Windows
114,.,1119764,ring,right,Windows
115,/,3460,little,right,Windows
116,shift,3222203,little,left,Windows
117,~,0,ring,left,Windows
118,!,0,ring,left,Windows
